"","Winner","Loser","game_id","away_abr","home_abr","away_team","home_team","game_date","game_day","bref_away","bref_home"
"1","ATL","DAL","401104913","DAL","ATL","Dallas","Atlanta","Friday, May 24","20190524","DAL","ATL"
"2","IND","NY","401104914","IND","NY","Indiana","New York","Friday, May 24","20190524","IND","NYL"
"3","SEA","PHX","401104915","PHX","SEA","Phoenix","Seattle","Saturday, May 25","20190525","PHO","SEA"
"4","CONN","WSH","401104916","WSH","CONN","Washington","Connecticut","Saturday, May 25","20190525","WAS","CON"
"5","MIN","CHI","401104917","CHI","MIN","Chicago","Minnesota","Saturday, May 25","20190525","CHI","MIN"
"6","LV","LA","401104918","LA","LV","Los Angeles","Las Vegas","Sunday, May 26","20190526","LAS","LVA"
"7","CONN","IND","401104919","IND","CONN","Indiana","Connecticut","Tuesday, May 28","20190528","IND","CON"
"8","MIN","SEA","401104920","SEA","MIN","Seattle","Minnesota","Wednesday, May 29","20190529","SEA","MIN"
"9","SEA","ATL","401104921","SEA","ATL","Seattle","Atlanta","Friday, May 31","20190531","SEA","ATL"
"10","PHX","LV","401104922","LV","PHX","Las Vegas","Phoenix","Friday, May 31","20190531","LVA","PHO"
"11","LA","CONN","401104923","CONN","LA","Connecticut","Los Angeles","Friday, May 31","20190531","CON","LAS"
"12","IND","NY","401104924","NY","IND","New York","Indiana","Saturday, June 1","20190601","NYL","IND"
"13","WSH","ATL","401104925","ATL","WSH","Atlanta","Washington","Saturday, June 1","20190601","ATL","WAS"
"14","CHI","SEA","401104926","SEA","CHI","Seattle","Chicago","Saturday, June 1","20190601","SEA","CHI"
"15","MIN","DAL","401104927","MIN","DAL","Minnesota","Dallas","Saturday, June 1","20190601","MIN","DAL"
"16","CONN","LV","401104928","CONN","LV","Connecticut","Las Vegas","Sunday, June 2","20190602","CON","LVA"
"17","LA","NY","401104929","LA","NY","Los Angeles","New York","Tuesday, June 4","20190604","LAS","NYL"
"18","SEA","MIN","401104930","MIN","SEA","Minnesota","Seattle","Tuesday, June 4","20190604","MIN","SEA"
"19","WSH","CHI","401104931","CHI","WSH","Chicago","Washington","Wednesday, June 5","20190605","CHI","WAS"
"20","LV","ATL","401104932","LV","ATL","Las Vegas","Atlanta","Thursday, June 6","20190606","LVA","ATL"
"21","CONN","LA","401104933","LA","CONN","Los Angeles","Connecticut","Thursday, June 6","20190606","LAS","CON"
"22","MIN","PHX","401104934","PHX","MIN","Phoenix","Minnesota","Thursday, June 6","20190606","PHO","MIN"
"23","IND","DAL","401104935","DAL","IND","Dallas","Indiana","Friday, June 7","20190607","DAL","IND"
"24","WSH","NY","401104936","WSH","NY","Washington","New York","Friday, June 7","20190607","WAS","NYL"
"25","LA","MIN","401104937","LA","MIN","Los Angeles","Minnesota","Saturday, June 8","20190608","LAS","MIN"
"26","CONN","ATL","401104938","CONN","ATL","Connecticut","Atlanta","Sunday, June 9","20190609","CON","ATL"
"27","NY","LV","401104939","LV","NY","Las Vegas","New York","Sunday, June 9","20190609","LVA","NYL"
"28","WSH","DAL","401104940","DAL","WSH","Dallas","Washington","Sunday, June 9","20190609","DAL","WAS"
"29","PHX","IND","401104941","PHX","IND","Phoenix","Indiana","Sunday, June 9","20190609","PHO","IND"
"30","CHI","SEA","401104942","SEA","CHI","Seattle","Chicago","Sunday, June 9","20190609","SEA","CHI"
"31","CONN","WSH","401104943","WSH","CONN","Washington","Connecticut","Tuesday, June 11","20190611","WAS","CON"
"32","SEA","IND","401104944","SEA","IND","Seattle","Indiana","Tuesday, June 11","20190611","SEA","IND"
"33","CHI","PHX","401104945","PHX","CHI","Phoenix","Chicago","Tuesday, June 11","20190611","PHO","CHI"
"34","NY","MIN","401104946","MIN","NY","Minnesota","New York","Wednesday, June 12","20190612","MIN","NYL"
"35","IND","DAL","401104947","IND","DAL","Indiana","Dallas","Thursday, June 13","20190613","IND","DAL"
"36","SEA","WSH","401104948","SEA","WSH","Seattle","Washington","Friday, June 14","20190614","SEA","WAS"
"37","CONN","MIN","401104949","CONN","MIN","Connecticut","Minnesota","Friday, June 14","20190614","CON","MIN"
"38","LA","PHX","401104950","LA","PHX","Los Angeles","Phoenix","Friday, June 14","20190614","LAS","PHO"
"39","LV","NY","401104951","NY","LV","New York","Las Vegas","Friday, June 14","20190614","NYL","LVA"
"40","CHI","IND","401104952","CHI","IND","Chicago","Indiana","Saturday, June 15","20190615","CHI","IND"
"41","DAL","ATL","401104953","ATL","DAL","Atlanta","Dallas","Saturday, June 15","20190615","ATL","DAL"
"42","NY","LA","401104954","NY","LA","New York","Los Angeles","Saturday, June 15","20190615","NYL","LAS"
"43","CONN","SEA","401104955","SEA","CONN","Seattle","Connecticut","Sunday, June 16","20190616","SEA","CON"
"44","LV","MIN","401104956","LV","MIN","Las Vegas","Minnesota","Sunday, June 16","20190616","LVA","MIN"
"45","WSH","LA","401104957","WSH","LA","Washington","Los Angeles","Tuesday, June 18","20190618","WAS","LAS"
"46","ATL","IND","401104958","IND","ATL","Indiana","Atlanta","Wednesday, June 19","20190619","IND","ATL"
"47","CHI","NY","401104959","CHI","NY","Chicago","New York","Wednesday, June 19","20190619","CHI","NYL"
"48","DAL","PHX","401104960","PHX","DAL","Phoenix","Dallas","Thursday, June 20","20190620","PHO","DAL"
"49","WSH","LV","401104961","WSH","LV","Washington","Las Vegas","Thursday, June 20","20190620","WAS","LVA"
"50","CONN","ATL","401104962","ATL","CONN","Atlanta","Connecticut","Friday, June 21","20190621","ATL","CON"
"51","IND","CHI","401104963","IND","CHI","Indiana","Chicago","Friday, June 21","20190621","IND","CHI"
"52","SEA","LA","401104964","LA","SEA","Los Angeles","Seattle","Friday, June 21","20190621","LAS","SEA"
"53","MIN","NY","401104965","NY","MIN","New York","Minnesota","Saturday, June 22","20190622","NYL","MIN"
"54","LV","DAL","401104966","DAL","LV","Dallas","Las Vegas","Saturday, June 22","20190622","DAL","LVA"
"55","WSH","ATL","401104967","WSH","ATL","Washington","Atlanta","Sunday, June 23","20190623","WAS","ATL"
"56","CHI","CONN","401104968","CONN","CHI","Connecticut","Chicago","Sunday, June 23","20190623","CON","CHI"
"57","PHX","LA","401104969","LA","PHX","Los Angeles","Phoenix","Sunday, June 23","20190623","LAS","PHO"
"58","SEA","IND","401104970","IND","SEA","Indiana","Seattle","Sunday, June 23","20190623","IND","SEA"
"59","MIN","IND","401104971","MIN","IND","Minnesota","Indiana","Tuesday, June 25","20190625","MIN","IND"
"60","LV","SEA","401104972","SEA","LV","Seattle","Las Vegas","Tuesday, June 25","20190625","SEA","LVA"
"61","WSH","CHI","401104973","WSH","CHI","Washington","Chicago","Wednesday, June 26","20190626","WAS","CHI"
"62","DAL","CONN","401104974","CONN","DAL","Connecticut","Dallas","Wednesday, June 26","20190626","CON","DAL"
"63","LA","LV","401104975","LV","LA","Las Vegas","Los Angeles","Thursday, June 27","20190627","LVA","LAS"
"64","NY","DAL","401104976","DAL","NY","Dallas","New York","Friday, June 28","20190628","DAL","NYL"
"65","PHX","IND","401104977","IND","PHX","Indiana","Phoenix","Friday, June 28","20190628","IND","PHO"
"66","SEA","CHI","401104978","CHI","SEA","Chicago","Seattle","Friday, June 28","20190628","CHI","SEA"
"67","WSH","CONN","401104979","CONN","WSH","Connecticut","Washington","Saturday, June 29","20190629","CON","WAS"
"68","LV","IND","401104980","IND","LV","Indiana","Las Vegas","Saturday, June 29","20190629","IND","LVA"
"69","NY","ATL","401104981","NY","ATL","New York","Atlanta","Sunday, June 30","20190630","NYL","ATL"
"70","DAL","MIN","401104982","MIN","DAL","Minnesota","Dallas","Sunday, June 30","20190630","MIN","DAL"
"71","LA","CHI","401104983","CHI","LA","Chicago","Los Angeles","Sunday, June 30","20190630","CHI","LAS"
"72","PHX","SEA","401104984","PHX","SEA","Phoenix","Seattle","Sunday, June 30","20190630","PHO","SEA"
"73","LV","CHI","401104985","CHI","LV","Chicago","Las Vegas","Tuesday, July 2","20190702","CHI","LVA"
"74","MIN","ATL","401104986","ATL","MIN","Atlanta","Minnesota","Tuesday, July 2","20190702","ATL","MIN"
"75","NY","SEA","401104987","NY","SEA","New York","Seattle","Wednesday, July 3","20190703","NYL","SEA"
"76","IND","DAL","401104988","IND","DAL","Indiana","Dallas","Friday, July 5","20190705","IND","DAL"
"77","NY","PHX","401104989","NY","PHX","New York","Phoenix","Friday, July 5","20190705","NYL","PHO"
"78","ATL","SEA","401104990","ATL","SEA","Atlanta","Seattle","Friday, July 5","20190705","ATL","SEA"
"79","MIN","CONN","401104992","MIN","CONN","Minnesota","Connecticut","Saturday, July 6","20190706","MIN","CON"
"80","LV","NY","401104993","LV","NY","Las Vegas","New York","Sunday, July 7","20190707","LVA","NYL"
"81","LA","WSH","401104994","WSH","LA","Washington","Los Angeles","Sunday, July 7","20190707","WAS","LAS"
"82","CHI","DAL","401104995","DAL","CHI","Dallas","Chicago","Sunday, July 7","20190707","DAL","CHI"
"83","PHX","ATL","401104996","ATL","PHX","Atlanta","Phoenix","Sunday, July 7","20190707","ATL","PHO"
"84","DAL","LA","401104997","LA","DAL","Los Angeles","Dallas","Tuesday, July 9","20190709","LAS","DAL"
"85","ATL","CONN","401104998","CONN","ATL","Connecticut","Atlanta","Wednesday, July 10","20190710","CON","ATL"
"86","PHX","WSH","401104999","PHX","WSH","Phoenix","Washington","Wednesday, July 10","20190710","PHO","WAS"
"87","LV","IND","401105000","LV","IND","Las Vegas","Indiana","Wednesday, July 10","20190710","LVA","IND"
"88","MIN","CHI","401105001","MIN","CHI","Minnesota","Chicago","Wednesday, July 10","20190710","MIN","CHI"
"89","LA","IND","401105002","LA","IND","Los Angeles","Indiana","Friday, July 12","20190712","LAS","IND"
"90","ATL","MIN","401105003","MIN","ATL","Minnesota","Atlanta","Friday, July 12","20190712","MIN","ATL"
"91","CONN","PHX","401105004","PHX","CONN","Phoenix","Connecticut","Friday, July 12","20190712","PHO","CON"
"92","CHI","NY","401105005","NY","CHI","New York","Chicago","Friday, July 12","20190712","NYL","CHI"
"93","SEA","DAL","401105006","DAL","SEA","Dallas","Seattle","Friday, July 12","20190712","DAL","SEA"
"94","LV","WSH","401105007","LV","WSH","Las Vegas","Washington","Saturday, July 13","20190713","LVA","WAS"
"95","LA","ATL","401105008","LA","ATL","Los Angeles","Atlanta","Sunday, July 14","20190714","LAS","ATL"
"96","CONN","IND","401105009","CONN","IND","Connecticut","Indiana","Sunday, July 14","20190714","CON","IND"
"97","CHI","DAL","401105010","CHI","DAL","Chicago","Dallas","Sunday, July 14","20190714","CHI","DAL"
"98","MIN","PHX","401105011","PHX","MIN","Phoenix","Minnesota","Sunday, July 14","20190714","PHO","MIN"
"99","SEA","NY","401105012","NY","SEA","New York","Seattle","Sunday, July 14","20190714","NYL","SEA"
"100","CHI","ATL","401105013","ATL","CHI","Atlanta","Chicago","Wednesday, July 17","20190717","ATL","CHI"
"101","PHX","DAL","401105014","DAL","PHX","Dallas","Phoenix","Wednesday, July 17","20190717","DAL","PHO"
"102","SEA","MIN","401105015","SEA","MIN","Seattle","Minnesota","Wednesday, July 17","20190717","SEA","MIN"
"103","LA","DAL","401105016","DAL","LA","Dallas","Los Angeles","Thursday, July 18","20190718","DAL","LAS"
"104","WSH","IND","401105017","WSH","IND","Washington","Indiana","Friday, July 19","20190719","WAS","IND"
"105","CONN","ATL","401105018","ATL","CONN","Atlanta","Connecticut","Friday, July 19","20190719","ATL","CON"
"106","SEA","LV","401105019","LV","SEA","Las Vegas","Seattle","Friday, July 19","20190719","LVA","SEA"
"107","NY","LA","401105020","LA","NY","Los Angeles","New York","Saturday, July 20","20190720","LAS","NYL"
"108","PHX","DAL","401105021","PHX","DAL","Phoenix","Dallas","Saturday, July 20","20190720","PHO","DAL"
"109","WSH","ATL","401105022","ATL","WSH","Atlanta","Washington","Sunday, July 21","20190721","ATL","WAS"
"110","CHI","IND","401105023","IND","CHI","Indiana","Chicago","Sunday, July 21","20190721","IND","CHI"
"111","LV","MIN","401105024","MIN","LV","Minnesota","Las Vegas","Sunday, July 21","20190721","MIN","LVA"
"112","LA","ATL","401105025","LA","ATL","Los Angeles","Atlanta","Tuesday, July 23","20190723","LAS","ATL"
"113","LV","SEA","401105026","SEA","LV","Seattle","Las Vegas","Tuesday, July 23","20190723","SEA","LVA"
"114","PHX","IND","401105027","IND","PHX","Indiana","Phoenix","Tuesday, July 23","20190723","IND","PHO"
"115","CONN","NY","401105028","NY","CONN","New York","Connecticut","Wednesday, July 24","20190724","NYL","CON"
"116","WSH","MIN","401105029","WSH","MIN","Washington","Minnesota","Wednesday, July 24","20190724","WAS","MIN"
"117","CONN","CHI","401105030","CHI","CONN","Chicago","Connecticut","Tuesday, July 30","20190730","CHI","CON"
"118","WSH","PHX","401105031","PHX","WSH","Phoenix","Washington","Tuesday, July 30","20190730","PHO","WAS"
"119","LV","DAL","401105032","DAL","LV","Dallas","Las Vegas","Tuesday, July 30","20190730","DAL","LVA"
"120","IND","ATL","401105033","ATL","IND","Atlanta","Indiana","Wednesday, July 31","20190731","ATL","IND"
"121","CONN","PHX","401105034","PHX","CONN","Phoenix","Connecticut","Thursday, August 1","20190801","PHO","CON"
"122","DAL","NY","401105035","NY","DAL","New York","Dallas","Thursday, August 1","20190801","NYL","DAL"
"123","LA","LV","401105036","LV","LA","Las Vegas","Los Angeles","Thursday, August 1","20190801","LVA","LAS"
"124","WSH","SEA","401105037","WSH","SEA","Washington","Seattle","Friday, August 2","20190802","WAS","SEA"
"125","CHI","ATL","401105038","CHI","ATL","Chicago","Atlanta","Saturday, August 3","20190803","CHI","ATL"
"126","IND","MIN","401105039","MIN","IND","Minnesota","Indiana","Saturday, August 3","20190803","MIN","IND"
"127","LV","DAL","401105040","LV","DAL","Las Vegas","Dallas","Saturday, August 3","20190803","LVA","DAL"
"128","CONN","NY","401105041","CONN","NY","Connecticut","New York","Sunday, August 4","20190804","CON","NYL"
"129","LA","SEA","401105042","SEA","LA","Seattle","Los Angeles","Sunday, August 4","20190804","SEA","LAS"
"130","PHX","WSH","401105043","WSH","PHX","Washington","Phoenix","Sunday, August 4","20190804","WAS","PHO"
"131","WSH","LV","401156333","WSH","LV","Washington","Las Vegas","Monday, August 5","20190805","WAS","LVA"
"132","MIN","ATL","401105044","MIN","ATL","Minnesota","Atlanta","Tuesday, August 6","20190806","MIN","ATL"
"133","CHI","NY","401105045","NY","CHI","New York","Chicago","Wednesday, August 7","20190807","NYL","CHI"
"134","WSH","IND","401105046","IND","WSH","Indiana","Washington","Thursday, August 8","20190808","IND","WAS"
"135","LA","PHX","401105047","PHX","LA","Phoenix","Los Angeles","Thursday, August 8","20190808","PHO","LAS"
"136","SEA","DAL","401105048","DAL","SEA","Dallas","Seattle","Thursday, August 8","20190808","DAL","SEA"
"137","MIN","CONN","401105049","CONN","MIN","Connecticut","Minnesota","Friday, August 9","20190809","CON","MIN"
"138","CHI","LV","401105050","CHI","LV","Chicago","Las Vegas","Friday, August 9","20190809","CHI","LVA"
"139","IND","ATL","401105051","ATL","IND","Atlanta","Indiana","Saturday, August 10","20190810","ATL","IND"
"140","DAL","PHX","401105052","DAL","PHX","Dallas","Phoenix","Saturday, August 10","20190810","DAL","PHO"
"141","SEA","NY","401105053","SEA","NY","Seattle","New York","Sunday, August 11","20190811","SEA","NYL"
"142","WSH","MIN","401105054","MIN","WSH","Minnesota","Washington","Sunday, August 11","20190811","MIN","WAS"
"143","LA","CHI","401105055","CHI","LA","Chicago","Los Angeles","Sunday, August 11","20190811","CHI","LAS"
"144","LV","CONN","401105056","CONN","LV","Connecticut","Las Vegas","Sunday, August 11","20190811","CON","LVA"
"145","MIN","NY","401105057","MIN","NY","Minnesota","New York","Tuesday, August 13","20190813","MIN","NYL"
"146","LV","ATL","401105058","ATL","LV","Atlanta","Las Vegas","Tuesday, August 13","20190813","ATL","LVA"
"147","WSH","SEA","401105059","SEA","WSH","Seattle","Washington","Wednesday, August 14","20190814","SEA","WAS"
"148","DAL","LA","401105060","LA","DAL","Los Angeles","Dallas","Wednesday, August 14","20190814","LAS","DAL"
"149","CONN","PHX","401105061","CONN","PHX","Connecticut","Phoenix","Wednesday, August 14","20190814","CON","PHO"
"150","CONN","SEA","401105062","SEA","CONN","Seattle","Connecticut","Friday, August 16","20190816","SEA","CON"
"151","CHI","LA","401105063","LA","CHI","Los Angeles","Chicago","Friday, August 16","20190816","LAS","CHI"
"152","DAL","NY","401105064","NY","DAL","New York","Dallas","Friday, August 16","20190816","NYL","DAL"
"153","WSH","MIN","401105065","WSH","MIN","Washington","Minnesota","Friday, August 16","20190816","WAS","MIN"
"154","PHX","ATL","401105066","ATL","PHX","Atlanta","Phoenix","Friday, August 16","20190816","ATL","PHO"
"155","CONN","DAL","401105067","DAL","CONN","Dallas","Connecticut","Sunday, August 18","20190818","DAL","CON"
"156","WSH","IND","401105068","IND","WSH","Indiana","Washington","Sunday, August 18","20190818","IND","WAS"
"157","LV","CHI","401105069","LV","CHI","Las Vegas","Chicago","Sunday, August 18","20190818","LVA","CHI"
"158","PHX","NY","401105070","NY","PHX","New York","Phoenix","Sunday, August 18","20190818","NYL","PHO"
"159","SEA","MIN","401105071","MIN","SEA","Minnesota","Seattle","Sunday, August 18","20190818","MIN","SEA"
"160","CHI","ATL","401105072","CHI","ATL","Chicago","Atlanta","Tuesday, August 20","20190820","CHI","ATL"
"161","NY","IND","401105073","NY","IND","New York","Indiana","Tuesday, August 20","20190820","NYL","IND"
"162","LV","PHX","401105074","PHX","LV","Phoenix","Las Vegas","Tuesday, August 20","20190820","PHO","LVA"
"163","LA","MIN","401105075","MIN","LA","Minnesota","Los Angeles","Tuesday, August 20","20190820","MIN","LAS"
"164","MIN","DAL","401105076","DAL","MIN","Dallas","Minnesota","Thursday, August 22","20190822","DAL","MIN"
"165","LA","IND","401105077","IND","LA","Indiana","Los Angeles","Thursday, August 22","20190822","IND","LAS"
"166","CONN","LV","401105078","LV","CONN","Las Vegas","Connecticut","Friday, August 23","20190823","LVA","CON"
"167","ATL","NY","401105079","ATL","NY","Atlanta","New York","Friday, August 23","20190823","ATL","NYL"
"168","CHI","WSH","401105080","WSH","CHI","Washington","Chicago","Friday, August 23","20190823","WAS","CHI"
"169","WSH","NY","401105081","NY","WSH","New York","Washington","Sunday, August 25","20190825","NYL","WAS"
"170","ATL","DAL","401105082","ATL","DAL","Atlanta","Dallas","Sunday, August 25","20190825","ATL","DAL"
"171","LA","CONN","401105083","CONN","LA","Connecticut","Los Angeles","Sunday, August 25","20190825","CON","LAS"
"172","CHI","PHX","401105084","CHI","PHX","Chicago","Phoenix","Sunday, August 25","20190825","CHI","PHO"
"173","MIN","LV","401105085","LV","MIN","Las Vegas","Minnesota","Sunday, August 25","20190825","LVA","MIN"
"174","IND","SEA","401105086","IND","SEA","Indiana","Seattle","Sunday, August 25","20190825","IND","SEA"
"175","IND","LV","401105087","LV","IND","Las Vegas","Indiana","Tuesday, August 27","20190827","LVA","IND"
"176","PHX","NY","401105088","PHX","NY","Phoenix","New York","Tuesday, August 27","20190827","PHO","NYL"
"177","WSH","LA","401105089","LA","WSH","Los Angeles","Washington","Tuesday, August 27","20190827","LAS","WAS"
"178","MIN","CHI","401105090","CHI","MIN","Chicago","Minnesota","Tuesday, August 27","20190827","CHI","MIN"
"179","CONN","SEA","401105091","CONN","SEA","Connecticut","Seattle","Tuesday, August 27","20190827","CON","SEA"
"180","LA","IND","401105092","LA","IND","Los Angeles","Indiana","Thursday, August 29","20190829","LAS","IND"
"181","PHX","ATL","401105094","PHX","ATL","Phoenix","Atlanta","Thursday, August 29","20190829","PHO","ATL"
"182","DAL","CHI","401105093","DAL","CHI","Dallas","Chicago","Thursday, August 29","20190829","DAL","CHI"
"183","CONN","NY","401105095","CONN","NY","Connecticut","New York","Friday, August 30","20190830","CON","NYL"
"184","WSH","DAL","401105096","WSH","DAL","Washington","Dallas","Saturday, August 31","20190831","WAS","DAL"
"185","LV","LA","401105097","LA","LV","Los Angeles","Las Vegas","Saturday, August 31","20190831","LAS","LVA"
"186","CHI","PHX","401105098","PHX","CHI","Phoenix","Chicago","Sunday, September 1","20190901","PHO","CHI"
"187","MIN","IND","401105099","IND","MIN","Indiana","Minnesota","Sunday, September 1","20190901","IND","MIN"
"188","SEA","ATL","401105100","ATL","SEA","Atlanta","Seattle","Sunday, September 1","20190901","ATL","SEA"
"189","WSH","NY","401105101","WSH","NY","Washington","New York","Tuesday, September 3","20190903","WAS","NYL"
"190","SEA","PHX","401105102","SEA","PHX","Seattle","Phoenix","Tuesday, September 3","20190903","SEA","PHO"
"191","LA","ATL","401105103","ATL","LA","Atlanta","Los Angeles","Tuesday, September 3","20190903","ATL","LAS"
"192","CONN","DAL","401105104","DAL","CONN","Dallas","Connecticut","Wednesday, September 4","20190904","DAL","CON"
"193","ATL","LV","401105105","LV","ATL","Las Vegas","Atlanta","Thursday, September 5","20190905","LVA","ATL"
"194","LA","SEA","401105106","SEA","LA","Seattle","Los Angeles","Thursday, September 5","20190905","SEA","LAS"
"195","WSH","DAL","401105107","DAL","WSH","Dallas","Washington","Friday, September 6","20190906","DAL","WAS"
"196","IND","NY","401105109","IND","NY","Indiana","New York","Friday, September 6","20190906","IND","NYL"
"197","CHI","CONN","401105108","CHI","CONN","Chicago","Connecticut","Friday, September 6","20190906","CHI","CON"
"198","MIN","PHX","401105110","MIN","PHX","Minnesota","Phoenix","Friday, September 6","20190906","MIN","PHO"
"199","NY","ATL","401105111","NY","ATL","New York","Atlanta","Sunday, September 8","20190908","NYL","ATL"
"200","IND","CONN","401105112","CONN","IND","Connecticut","Indiana","Sunday, September 8","20190908","CON","IND"
"201","WSH","CHI","401105113","CHI","WSH","Chicago","Washington","Sunday, September 8","20190908","CHI","WAS"
"202","SEA","DAL","401105114","SEA","DAL","Seattle","Dallas","Sunday, September 8","20190908","SEA","DAL"
"203","LV","PHX","401105115","LV","PHX","Las Vegas","Phoenix","Sunday, September 8","20190908","LVA","PHO"
"204","LA","MIN","401105116","MIN","LA","Minnesota","Los Angeles","Sunday, September 8","20190908","MIN","LAS"
"205","CHI","PHX","401165793","PHX","CHI","Phoenix","Chicago","Wednesday, September 11","20190911","PHO","CHI"
"206","SEA","MIN","401165794","MIN","SEA","Minnesota","Seattle","Wednesday, September 11","20190911","MIN","SEA"
"207","LA","SEA","401165795","SEA","LA","Seattle","Los Angeles","Sunday, September 15","20190915","SEA","LAS"
"208","LV","CHI","401165796","CHI","LV","Chicago","Las Vegas","Sunday, September 15","20190915","CHI","LVA"
"209","CONN","LA","401165802","LA","CONN","Los Angeles","Connecticut","Tuesday, September 17","20190917","LAS","CON"
"210","WSH","LV","401165797","LV","WSH","Las Vegas","Washington","Tuesday, September 17","20190917","LVA","WAS"
"211","CONN","LA","401165803","LA","CONN","Los Angeles","Connecticut","Thursday, September 19","20190919","LAS","CON"
"212","WSH","LV","401165798","LV","WSH","Las Vegas","Washington","Thursday, September 19","20190919","LVA","WAS"
"213","LV","WSH","401165887","WSH","LV","Washington","Las Vegas","Sunday, September 22","20190922","WAS","LVA"
"214","CONN","LA","401165892","CONN","LA","Connecticut","Los Angeles","Sunday, September 22","20190922","CON","LAS"
"215","WSH","LV","401165888","WSH","LV","Washington","Las Vegas","Tuesday, September 24","20190924","WAS","LVA"
"216","WSH","CONN","401165807","CONN","WSH","Connecticut","Washington","Sunday, September 29","20190929","CON","WAS"
"217","CONN","WSH","401165808","CONN","WSH","Connecticut","Washington","Tuesday, October 1","20191001","CON","WAS"
"218","WSH","CONN","401165809","WSH","CONN","Washington","Connecticut","Sunday, October 6","20191006","WAS","CON"
"219","CONN","WSH","401165810","WSH","CONN","Washington","Connecticut","Tuesday, October 8","20191008","WAS","CON"
"220","WSH","CONN","401165811","CONN","WSH","Connecticut","Washington","Thursday, October 10","20191010","CON","WAS"
