"","PlusMinus","Turnovers"
"10164",1,1
"1186",-5,1
"1108",-10,2
"291",-14,2
"391",-5,4
"491",-10,2
"591",-10,2
"791",-1,1
"891",0,0
"991",-4,0
"1086",-4,0
"1187",-2,1
"1262",10,1
"2181",15,2
"3181",7,0
"4181",5,6
"5181",9,2
"7181",-1,0
"8181",9,2
"9181",6,3
"1109",-25,1
"292",-17,2
"392",-27,4
"492",-16,2
"592",-16,1
"792",-7,2
"892",11,1
"992",6,0
"1087",-1,2
"1188",0,0
"1263",12,0
"1412",36,3
"2182",39,1
"3182",14,0
"4182",33,2
"5182",13,1
"7182",-16,1
"8182",8,0
"9182",-11,0
"10165",-18,0
"11130",-9,3
"12111",-5,1
"1330",-4,0
"1189",18,1
"293",3,2
"393",11,1
"493",4,2
"593",21,1
"793",-5,1
"893",-2,1
"993",4,0
"1088",-4,1
"1190",-1,1
"2183",2,0
"3183",0,0
"4183",-8,0
"5183",-17,2
"7183",-7,1
"8183",-11,0
"9183",-7,3
"10166",-1,0
"1191",-15,1
"294",-13,0
"394",-14,3
"494",2,5
"594",-12,1
"794",2,0
"894",12,1
"994",10,0
"1089",-12,0
"1331",13,1
"2184",17,1
"3184",23,4
"4184",21,4
"5184",15,1
"7184",-13,0
"8184",-16,3
"9184",4,0
"10167",-5,0
"1192",-2,0
"1264",-17,4
"1193",1,0
"295",11,1
"395",-3,1
"495",-3,2
"595",-1,4
"795",-13,1
"895",-3,0
"995",-10,1
"1090",-3,0
"1194",-5,4
"1265",-1,0
"1332",5,1
"2185",6,4
"3185",10,2
"4185",10,5
"5185",11,1
"7185",0,1
"8185",-6,0
"9185",2,0
"10168",-5,1
"11131",1,1
"12112",-4,0
"1195",-4,6
"296",-3,0
"396",-21,2
"496",-17,2
"596",1,0
"796",-8,1
"896",-3,2
"996",3,1
"1091",8,1
"1196",-1,1
"1333",17,1
"2186",21,0
"3186",24,2
"4186",26,2
"5186",19,0
"7186",-15,1
"8186",-16,1
"9186",1,0
"10169",-6,1
"11132",-12,0
"1266",-14,0
"1197",9,0
"297",17,2
"397",3,2
"497",8,3
"597",16,2
"797",-10,2
"897",-14,2
"997",-4,0
"1092",-1,0
"1198",-9,1
"1267",-7,0
"2187",-5,5
"3187",-12,2
"4187",-5,3
"5187",-16,1
"7187",13,3
"8187",6,0
"9187",2,0
"10170",9,1
"1199",-4,5
"298",-3,4
"398",1,1
"498",0,4
"598",5,2
"798",-2,4
"898",-4,0
"998",-9,2
"1093",1,2
"11100",4,2
"2188",-1,3
"3188",-5,2
"4188",-3,7
"5188",6,2
"7188",2,2
"8188",4,2
"9188",0,3
"10171",8,0
"1200",-11,2
"299",13,3
"399",4,2
"499",-5,3
"599",-4,0
"799",-8,1
"899",-14,2
"999",-13,0
"1094",-12,0
"11101",23,3
"2189",-5,2
"3189",19,3
"4189",20,2
"5189",1,2
"7189",-3,4
"8189",4,0
"9189",5,0
"10172",-14,2
"1201",10,2
"2100",0,3
"3100",13,2
"4100",2,1
"5100",0,0
"7100",12,1
"8100",18,1
"9100",2,1
"1095",0,0
"11102",14,0
"1268",4,1
"1334",0,0
"1413",-8,1
"2190",-5,1
"3190",-14,1
"4190",-13,1
"5190",-8,1
"7190",-7,0
"8190",-5,1
"9190",-9,0
"10173",-3,0
"11133",-3,1
"1202",-5,1
"2101",-6,3
"3101",1,1
"4101",-14,1
"5101",-8,3
"7101",-3,2
"8101",0,0
"9101",-5,2
"1096",5,1
"1269",0,5
"2191",9,1
"3191",12,1
"4191",11,1
"5191",5,3
"7191",5,2
"8191",0,1
"9191",0,0
"10174",-3,0
"11103",-4,2
"1203",4,1
"2102",7,0
"3102",15,0
"4102",13,0
"5102",14,3
"7102",5,1
"8102",-7,2
"9102",-2,0
"1097",-9,0
"1270",-11,1
"2192",-18,0
"3192",-7,5
"4192",-11,1
"5192",-5,0
"7192",9,0
"8192",0,0
"9192",-2,2
"10175",3,2
"11104",2,0
"1204",3,1
"2103",4,1
"3103",-4,4
"4103",3,0
"5103",2,0
"7103",4,0
"8103",8,0
"9103",5,0
"1271",3,1
"2193",3,3
"3193",3,1
"4193",7,2
"5193",3,3
"7193",-13,1
"8193",-8,1
"9193",-8,0
"1098",-2,0
"11105",-13,1
"1205",-23,1
"2104",-27,2
"3104",-31,3
"4104",-20,2
"5104",-26,2
"7104",-1,0
"8104",2,0
"9104",9,0
"1099",-16,2
"11106",3,1
"1272",-5,0
"1335",14,0
"2194",20,0
"3194",15,1
"4194",25,0
"5194",14,2
"7194",6,0
"8194",6,2
"9194",14,0
"10176",0,1
"11134",10,0
"12113",11,0
"1206",16,1
"2105",15,0
"3105",0,1
"4105",9,5
"5105",14,3
"7105",-21,2
"8105",11,4
"9105",-3,1
"10100",-3,1
"11107",-13,2
"1273",-2,0
"2195",5,3
"3195",2,1
"4195",-13,7
"5195",-6,2
"7195",-10,1
"8195",-7,2
"9195",1,0
"10177",-3,1
"11135",8,0
"1207",-19,4
"2106",-15,1
"3106",-23,0
"4106",-16,2
"5106",-5,2
"7106",-2,2
"8106",-5,1
"9106",-3,1
"10101",16,0
"11108",3,0
"1274",-1,1
"1336",14,0
"2196",15,1
"3196",7,3
"4196",31,2
"5196",19,0
"7196",7,1
"8196",2,3
"9196",-16,0
"10178",8,0
"11136",-10,1
"12114",-7,0
"1208",-17,2
"2107",-4,5
"3107",1,2
"4107",-8,1
"5107",-14,5
"7107",3,0
"8107",-2,2
"9107",-4,0
"11109",18,3
"2197",9,1
"3197",16,1
"4197",15,0
"5197",11,4
"7197",-6,0
"8197",-7,0
"9197",-11,0
"1209",-21,2
"2108",-6,1
"3108",-21,1
"4108",-1,0
"5108",-16,2
"7108",-19,2
"8108",-3,1
"9108",-3,1
"10102",-12,1
"11137",-3,0
"1275",-20,1
"1337",-5,1
"1414",6,3
"2198",23,0
"3198",23,3
"4198",20,2
"5198",18,1
"7198",2,0
"8198",5,1
"9198",3,0
"10179",8,1
"11138",18,1
"12115",4,0
"1276",15,0
"2109",20,3
"3109",15,1
"4109",21,4
"5109",18,1
"7109",0,0
"8109",2,0
"9109",7,2
"10103",4,0
"11139",7,2
"1277",1,0
"1415",-4,2
"2199",-21,1
"3199",-8,0
"4199",-8,0
"5199",-19,2
"7199",-7,0
"8199",-1,1
"9199",-11,0
"10180",-13,0
"11140",-15,3
"12116",-3,1
"1338",0,0
"1278",-8,0
"2200",-9,4
"3200",-12,2
"4200",-9,2
"5200",-9,4
"7200",5,0
"8200",-1,1
"9200",-2,0
"10104",0,0
"11141",14,3
"21100",11,1
"31100",17,1
"41100",1,2
"51100",15,2
"71100",-4,2
"81100",0,0
"91100",-1,2
"10181",-8,1
"1279",18,0
"2201",12,1
"3201",25,3
"4201",12,3
"5201",9,0
"7201",-13,0
"8201",-5,1
"9201",8,0
"10105",-6,1
"11142",0,0
"1280",-15,0
"21101",1,1
"31101",-10,1
"41101",-17,3
"51101",-12,0
"71101",-4,1
"81101",3,1
"91101",-9,0
"10182",3,0
"1281",-5,0
"2202",3,0
"3202",2,4
"4202",0,0
"5202",-2,1
"7202",15,2
"8202",23,1
"9202",7,2
"10106",22,2
"1339",-7,0
"21102",-15,2
"31102",-19,2
"41102",-20,4
"51102",-6,1
"71102",2,0
"81102",8,0
"91102",3,0
"10183",-5,0
"11143",-8,3
"1282",2,0
"1283",-5,0
"2203",-18,1
"3203",-14,3
"4203",-1,1
"5203",-2,0
"7203",16,1
"8203",-2,1
"9203",-1,1
"10107",7,1
"11144",6,1
"21103",4,3
"31103",5,1
"41103",5,0
"51103",7,1
"71103",-1,0
"81103",-2,1
"91103",-4,0
"1284",-13,1
"2204",-8,3
"3204",-8,2
"4204",-5,2
"5204",-9,2
"7204",-3,0
"8204",-1,0
"9204",-4,0
"10108",-4,0
"11145",-5,0
"21104",11,0
"31104",12,5
"41104",12,2
"51104",8,1
"71104",-2,0
"81104",7,0
"91104",14,1
"10184",-2,0
"1285",-6,2
"2205",-7,1
"3205",-13,3
"4205",-11,1
"5205",-15,1
"7205",-8,0
"8205",-6,3
"9205",0,0
"10109",-9,0
"1286",12,0
"21105",10,4
"31105",20,2
"41105",21,1
"51105",18,0
"71105",7,0
"81105",-5,1
"91105",-3,1
"10185",-3,0
"11146",-2,0
"1287",-10,1
"2206",-7,2
"3206",4,2
"4206",-2,1
"5206",-13,0
"7206",3,0
"8206",-8,2
"9206",-10,0
"10186",-12,3
"1288",10,0
"21106",14,2
"31106",16,2
"41106",11,3
"51106",13,1
"71106",-7,1
"81106",-5,2
"91106",0,1
"10187",0,0
"11147",3,0
"1289",-12,1
"2207",-1,1
"3207",-9,4
"4207",-7,2
"5207",-9,1
"7207",2,2
"8207",-3,2
"9207",1,1
"10188",2,0
"11148",1,0
"1290",4,1
"21107",8,0
"31107",6,1
"41107",-2,0
"51107",12,1
"71107",1,1
"81107",0,2
"91107",6,3
"10189",0,1
"1291",29,1
"2208",21,0
"3208",13,2
"4208",20,1
"5208",11,2
"7208",-11,1
"8208",-9,1
"9208",-2,0
"10190",-17,1
"11149",-8,0
"1292",-17,0
"1340",-14,6
"21108",-9,1
"31108",-21,2
"41108",-15,1
"51108",-14,2
"71108",8,2
"81108",11,3
"91108",4,1
"10191",-4,0
"11150",9,2
"12117",15,1
"1293",-3,5
"2209",-11,0
"3209",-4,2
"4209",-9,8
"5209",-18,0
"7209",-3,0
"8209",-7,3
"9209",0,3
"10192",-5,0
"1294",8,1
"21109",13,1
"31109",12,4
"41109",10,5
"51109",12,1
"71109",-1,1
"81109",0,1
"91109",-3,1
"10193",5,1
"11151",4,1
"1295",-2,1
"2210",-1,0
"3210",-4,1
"4210",-8,1
"5210",-1,0
"7210",-8,1
"8210",-6,2
"9210",-5,0
"10194",-5,2
"1341",4,0
"21110",-2,2
"31110",9,4
"41110",-1,3
"51110",5,3
"71110",10,0
"81110",1,0
"91110",-1,0
"10195",8,2
"11152",8,1
"1296",-1,0
"1297",-16,1
"2211",-10,4
"3211",-10,2
"4211",0,2
"5211",-4,2
"7211",-4,0
"8211",-4,1
"9211",4,1
"10196",-14,2
"11153",-12,0
"1298",20,1
"21111",14,2
"31111",18,4
"41111",-5,2
"51111",10,4
"71111",0,2
"81111",-4,0
"91111",19,0
"10197",4,0
"11154",-6,0
"1299",1,0
"2212",5,1
"3212",3,4
"4212",1,1
"5212",-4,1
"7212",-6,0
"8212",-4,1
"9212",0,1
"10198",1,2
"11155",-2,0
"12100",-4,3
"21112",3,0
"31112",-7,1
"41112",-2,0
"51112",5,2
"71112",5,1
"81112",5,0
"91112",-6,1
"10199",5,4
"11156",1,1
"1300",-31,1
"2213",-38,1
"3213",-30,0
"4213",-33,4
"5213",-23,0
"7213",-10,0
"8213",-10,0
"9213",-8,3
"10200",-20,4
"11157",-12,1
"12101",35,0
"21113",27,0
"31113",27,3
"41113",29,3
"51113",33,0
"71113",9,1
"81113",24,2
"91113",10,0
"101100",6,0
"11158",15,3
"1301",-12,1
"2214",-24,3
"3214",-4,1
"4214",-19,1
"5214",3,3
"7214",-7,1
"8214",2,2
"9214",0,0
"10201",2,0
"11159",2,0
"12102",-18,1
"1342",0,0
"1416",15,1
"21114",19,3
"31114",14,2
"41114",20,2
"51114",17,2
"71114",-4,1
"81114",2,0
"91114",-1,0
"101101",-3,1
"11160",1,1
"12118",-5,1
"1302",18,1
"2215",8,1
"3215",16,4
"4215",9,2
"5215",6,1
"7215",5,1
"8215",2,0
"9215",-5,0
"10202",7,0
"11161",-5,2
"12103",4,1
"1343",-11,3
"21115",-4,2
"31115",-4,1
"41115",-1,2
"51115",-9,2
"71115",-2,1
"81115",-9,1
"91115",-9,2
"101102",-9,0
"11162",-7,0
"1303",-9,3
"2216",-5,1
"3216",-10,3
"4216",-13,1
"5216",-14,1
"7216",-2,2
"8216",2,0
"10203",3,2
"11163",8,1
"12104",8,0
"1344",-3,2
"1417",12,2
"21116",14,3
"31116",3,0
"41116",18,1
"51116",4,2
"71116",-7,1
"81116",4,0
"9216",3,0
"101103",-5,1
"11164",-11,1
"1304",-3,4
"2217",-2,1
"3217",-7,2
"4217",-4,3
"5217",-6,0
"7217",-6,2
"8217",-4,2
"9217",3,0
"10204",-1,4
"12105",8,1
"21117",0,4
"31117",7,1
"41117",13,7
"51117",8,3
"71117",6,0
"81117",-1,0
"91116",-5,0
"101104",1,0
"11165",-7,0
"1305",13,0
"2218",16,2
"3218",20,1
"4218",14,1
"5218",7,1
"7218",-1,0
"8218",-3,0
"9218",-2,0
"10205",10,2
"11166",2,2
"12106",-1,0
"1345",-7,1
"21118",5,3
"31118",-9,1
"41118",-15,5
"51118",-3,0
"71118",-25,3
"81118",-3,0
"91117",0,0
"101105",-6,1
"11167",0,2
"12119",-12,1
"1306",-16,1
"2219",-8,2
"3219",-9,3
"4219",-10,1
"5219",-18,1
"7219",1,0
"8219",0,0
"9219",10,0
"10206",8,0
"11168",2,1
"12107",6,2
"21119",12,7
"31119",16,0
"41119",10,1
"51119",2,3
"71119",6,3
"81119",0,0
"91118",-6,0
"101106",2,0
"11169",-8,0
"1307",11,1
"2220",9,1
"3220",17,1
"4220",13,4
"5220",6,4
"7220",-10,0
"8220",-2,0
"9220",1,2
"10207",-4,1
"11170",-6,1
"12108",-17,2
"21120",-8,4
"31120",-17,2
"41120",2,3
"51120",-20,1
"71120",13,3
"81120",9,2
"91119",0,2
"101107",3,0
"1308",-6,4
"2221",-1,7
"3221",-9,0
"4221",-12,1
"5221",-5,8
"7221",8,2
"8221",5,0
"9221",0,1
"10208",4,1
"11171",11,3
"1346",15,3
"21121",11,2
"31121",20,2
"41121",7,2
"51121",5,5
"71121",-14,0
"81121",-10,0
"91120",-5,0
"101108",0,0
"11172",-18,1
"12109",-6,0
"1309",-14,0
"2222",-12,1
"3222",-3,1
"4222",-10,3
"5222",-12,1
"7222",0,0
"8222",-4,1
"9222",1,0
"10209",4,2
"12120",15,1
"21122",19,2
"31122",10,3
"41122",12,2
"51122",10,3
"71122",-3,0
"81122",-9,0
"91121",3,2
"101109",-5,1
"11173",-2,1
"1347",-5,1
"2223",-2,2
"3223",-4,2
"4223",-16,0
"5223",-14,2
"7223",5,2
"8223",6,1
"9223",0,0
"10210",10,0
"11174",0,0
"12121",12,0
"21123",4,2
"31123",16,2
"41123",2,2
"51123",11,2
"71123",-12,1
"81123",-5,0
"91122",0,0
"101110",-8,1
"1348",-11,0
"2224",-2,5
"3224",-7,3
"4224",-14,1
"5224",-9,3
"7224",-6,0
"8224",-9,2
"9224",1,0
"10211",-4,1
"11175",1,0
"1418",13,3
"21124",17,2
"31124",10,0
"41124",-6,0
"51124",14,3
"71124",4,2
"81124",-4,0
"91123",-6,1
"101111",14,1
"11176",-5,0
"12122",13,1
"1349",-4,1
"1350",13,0
"2225",19,2
"3225",11,2
"4225",21,1
"5225",18,1
"7225",2,0
"8225",5,0
"9225",6,1
"10212",2,1
"11177",-2,0
"1351",-7,0
"21125",-19,4
"31125",-27,1
"41125",-16,1
"51125",-24,4
"71125",0,2
"81125",-7,1
"91124",5,0
"101112",1,1
"11178",-5,3
"12123",4,0
"1352",4,1
"2226",11,2
"3226",-6,0
"4226",7,3
"5226",9,0
"7226",3,0
"8226",-1,2
"9226",13,1
"10213",7,0
"11179",3,0
"12124",4,2
"21126",-8,2
"31126",3,0
"41126",-5,0
"51126",-11,4
"71126",-6,2
"81126",-6,0
"91125",-11,2
"101113",-3,0
"11180",-7,1
"1353",-15,1
"2227",-18,2
"3227",-14,1
"4227",-24,0
"5227",-31,3
"7227",-8,0
"8227",-17,0
"9227",-20,2
"10214",-3,0
"12125",26,1
"21127",17,2
"31127",25,1
"41127",26,1
"51127",15,2
"71127",13,2
"81127",5,2
"91126",6,1
"101114",13,3
"11181",4,1
"1354",-5,0
"2228",-6,0
"3228",4,1
"4228",-6,4
"5228",-5,1
"7228",-23,4
"8228",-32,2
"9228",-22,1
"10215",-23,1
"11182",-22,0
"12126",26,1
"21128",19,2
"31128",10,0
"41128",25,3
"51128",22,4
"71128",13,0
"81128",17,4
"91127",3,0
"101115",4,1
"11183",1,0
"1355",-31,2
"2229",-12,1
"3229",-19,2
"4229",-38,2
"5229",-26,1
"7229",-9,0
"8229",-10,0
"9229",-14,1
"10216",0,0
"11184",-3,0
"12127",2,1
"1356",-10,1
"1419",-3,2
"1510",-1,0
"16",4,1
"17",25,1
"21129",36,0
"31129",27,2
"41129",40,0
"51129",33,2
"71129",-4,1
"81129",11,2
"91128",-2,0
"101116",3,1
"11185",4,1
"12128",7,0
"13110",-2,0
"141",-6,0
"151",-5,2
"161",3,1
"1357",-2,2
"2230",-5,1
"3230",2,0
"4230",6,1
"5230",-8,1
"7230",4,0
"8230",5,2
"9230",-3,0
"10217",6,2
"1358",5,4
"21130",-10,5
"31130",4,1
"41130",4,2
"51130",6,1
"71130",7,0
"81130",-1,0
"91129",-3,0
"101117",-14,2
"11186",1,0
"12129",-4,1
"1359",-22,7
"2231",-13,0
"3231",-2,0
"4231",-3,1
"5231",-9,1
"7231",2,1
"8231",-8,0
"9231",11,0
"10218",-6,2
"11187",4,0
"12130",-13,4
"1360",-16,0
"1420",20,2
"21131",22,1
"31131",17,0
"41131",24,4
"51131",8,1
"71131",-8,0
"81131",-9,0
"91130",-2,1
"101118",5,1
"11188",14,2
"12131",-16,3
"1361",-20,1
"2232",-3,2
"3232",-10,1
"4232",-4,0
"5232",-12,2
"7232",-2,2
"8232",4,1
"9232",-2,0
"10219",-2,0
"11189",-4,1
"12132",-20,0
"1362",12,0
"21132",7,0
"31132",10,3
"41132",14,3
"51132",6,1
"71132",-1,1
"81132",4,0
"91131",5,0
"101119",8,1
"11190",10,1
"1363",9,0
"2233",13,0
"3233",14,1
"4233",8,1
"5233",-3,1
"7233",-2,0
"8233",-5,0
"9233",4,1
"10220",0,1
"11191",-3,1
"12133",-24,0
"21133",0,0
"31133",-24,1
"41133",-17,4
"51133",4,2
"71133",19,0
"81133",19,0
"91132",4,3
"101120",-28,0
"11192",12,1
"1364",10,3
"2234",9,3
"3234",-4,1
"4234",7,1
"5234",8,1
"7234",-3,2
"8234",-8,0
"9234",2,0
"10221",-11,0
"11193",4,4
"21134",-6,0
"31134",-7,1
"41134",-2,6
"51134",-4,2
"71134",0,0
"81134",4,0
"91133",-2,0
"101121",3,0
"1365",-3,5
"2235",2,2
"3235",9,2
"4235",-2,1
"5235",-3,2
"7235",9,1
"8235",6,4
"9235",2,0
"11194",-3,0
"21135",3,1
"31135",-2,3
"41135",-12,2
"51135",2,0
"71135",6,2
"81135",-17,1
"91134",1,4
"10222",2,0
"1366",-5,2
"2236",-10,2
"3236",-7,4
"4236",-3,8
"5236",-2,1
"7236",4,0
"8236",2,0
"9236",3,1
"10223",-2,1
"11195",2,0
"21136",17,2
"31136",7,0
"41136",16,2
"51136",1,5
"71136",-9,1
"81136",-6,2
"91135",-1,0
"101122",-7,0
"1367",-15,1
"2237",-3,2
"3237",-15,1
"4237",-12,2
"5237",-16,1
"7237",-16,1
"8237",1,0
"9237",1,1
"10224",-19,0
"11196",-7,1
"12134",-10,1
"1368",1,0
"1421",12,1
"21137",12,1
"31137",11,3
"41137",16,2
"51137",8,1
"71137",13,1
"81137",27,1
"91136",-3,0
"101123",-3,0
"11197",17,2
"1369",-9,1
"2238",-7,1
"3238",6,0
"4238",2,2
"5238",3,1
"7238",-7,0
"8238",2,0
"9238",-15,1
"12135",7,2
"21138",9,1
"31138",1,1
"41138",1,2
"51138",3,0
"71138",6,1
"81138",2,2
"91137",-3,0
"10225",-1,1
"11198",0,0
"1370",17,1
"2239",5,0
"3239",12,3
"4239",16,2
"5239",4,1
"7239",2,0
"8239",2,1
"9239",10,0
"10226",13,1
"11199",1,0
"12136",16,1
"1371",2,0
"1422",-21,0
"21139",-8,0
"31139",-8,3
"41139",-20,4
"51139",-15,1
"71139",-13,1
"81139",-3,0
"91138",-3,0
"101124",-9,0
"1372",0,2
"2240",1,2
"3240",6,4
"4240",3,1
"5240",1,0
"7240",2,0
"8240",0,1
"9240",5,0
"10227",-2,1
"11200",-1,0
"12137",-3,2
"21140",-4,0
"31140",-1,0
"41140",-5,2
"51140",6,0
"71140",3,2
"81140",-5,0
"91139",-5,1
"101125",-3,1
"111100",2,2
"1373",4,3
"2241",22,1
"3241",31,1
"4241",6,0
"5241",17,2
"7241",-14,1
"8241",4,0
"9241",-20,3
"10228",-20,1
"1423",-14,0
"21141",-20,0
"31141",-12,1
"41141",-16,7
"51141",-14,1
"71141",11,1
"81141",15,0
"91140",2,1
"101126",-4,2
"11201",18,1
"12138",-9,3
"1374",13,3
"1375",7,2
"2242",-2,0
"3242",16,1
"4242",-2,0
"5242",14,2
"7242",5,0
"8242",0,2
"9242",-3,1
"10229",0,0
"11202",-7,1
"21142",0,1
"31142",-10,1
"41142",-1,3
"51142",-6,1
"71142",2,0
"81142",-7,1
"91141",1,0
"101127",-7,3
"1376",-2,1
"2243",-11,2
"3243",-9,2
"4243",-2,2
"5243",-11,2
"7243",-13,1
"8243",-5,0
"9243",-2,0
"10230",-7,0
"11203",-10,1
"12139",-16,1
"1377",-2,0
"1424",11,3
"21143",7,2
"31143",11,1
"41143",6,1
"51143",-1,0
"71143",20,3
"81143",14,0
"91142",7,0
"101128",15,2
"1378",-11,0
"2244",-15,1
"3244",-14,0
"4244",-7,4
"5244",-12,5
"7244",4,1
"8244",-6,0
"9244",-2,0
"10231",-4,1
"11204",2,2
"1379",19,0
"21144",15,0
"31144",13,2
"41144",11,1
"51144",13,2
"71144",-2,0
"81144",4,1
"91143",0,0
"101129",0,0
"111101",-2,1
"12140",-6,1
"1380",-18,0
"2245",-21,4
"3245",-25,2
"4245",-27,2
"5245",-28,0
"7245",-16,0
"8245",-22,0
"9245",-12,0
"10232",-1,1
"11205",-23,2
"12141",-2,2
"1381",28,1
"21145",31,0
"31145",33,1
"41145",29,1
"51145",27,1
"71145",8,1
"81145",6,1
"91144",8,0
"101130",7,0
"111102",7,0
"12142",11,0
"1382",0,3
"2246",11,3
"3246",11,2
"4246",8,3
"5246",12,0
"7246",-1,0
"8246",2,0
"9246",-1,2
"10233",-6,0
"11206",-6,0
"12143",-5,0
"21146",-8,1
"31146",-5,0
"41146",-8,2
"51146",-10,3
"71146",9,0
"81146",1,1
"91145",-4,1
"1383",-13,4
"2247",-31,2
"3247",-25,1
"4247",-15,3
"5247",-23,0
"7247",-23,2
"8247",-12,0
"9247",-6,1
"10234",1,0
"11207",-9,4
"12144",-9,1
"1425",20,0
"21147",24,0
"31147",26,2
"41147",19,1
"51147",24,4
"71147",10,0
"81147",4,0
"91146",8,2
"101131",13,2
"111103",6,1
"12145",10,1
"1384",1,0
"1385",4,3
"2248",5,0
"3248",12,2
"4248",-6,5
"5248",8,0
"7248",2,1
"8248",4,2
"9248",16,2
"12146",-3,1
"21148",-6,3
"31148",-4,1
"41148",-1,2
"51148",-5,3
"71148",-5,2
"81148",-6,2
"91147",-3,0
"10235",-4,1
"11208",-8,0
"1386",-12,1
"2249",-17,0
"3249",-22,1
"4249",-14,1
"5249",-5,2
"7249",-10,1
"8249",9,0
"9249",9,0
"10236",-2,1
"11209",-1,1
"12147",-10,0
"1387",18,0
"21149",11,1
"31149",22,2
"41149",8,0
"51149",21,0
"71149",6,1
"81149",0,1
"91148",-9,0
"101132",-7,0
"111104",14,2
"12148",-9,0
"1388",7,3
"2250",4,1
"3250",4,0
"4250",-6,1
"5250",8,4
"7250",-5,1
"8250",2,1
"9250",-5,0
"10237",-2,0
"11210",13,0
"12149",-4,0
"21150",-1,2
"31150",7,2
"41150",-3,2
"51150",-5,3
"71150",-6,1
"81150",-11,1
"91149",3,2
"1389",11,3
"2251",-8,1
"3251",11,4
"4251",8,1
"5251",5,2
"7251",-9,0
"8251",3,1
"9251",-3,0
"10238",7,4
"1390",-8,1
"21151",-5,2
"31151",-9,2
"41151",-10,3
"51151",-7,1
"71151",6,2
"81151",-4,1
"91150",2,0
"101133",4,2
