"","PlusMinus","Turnovers"
"11211",1,2
"12150",5,3
"1391",-3,1
"2252",-21,0
"3252",4,0
"4252",-6,2
"5252",0,1
"7252",9,1
"8252",22,0
"9252",-7,1
"10239",4,0
"11212",6,0
"12151",21,1
"1392",14,1
"1426",10,2
"1511",-2,2
"1610",4,2
"1710",6,3
"21152",-10,1
"31152",3,1
"41152",12,2
"51152",18,6
"71152",-16,3
"81152",-5,0
"91151",-9,1
"101134",-16,1
"111105",-22,2
"12152",-15,3
"13111",-1,0
"1393",13,1
"2253",1,3
"3253",17,2
"4253",-3,2
"5253",1,2
"7253",-4,1
"8253",-4,0
"9253",-1,1
"10240",5,0
"11213",-8,3
"21153",-2,4
"31153",-11,2
"41153",-1,2
"51153",-3,1
"71153",0,0
"81153",4,4
"91152",-4,0
"1394",3,0
"2254",6,3
"3254",-5,3
"4254",12,1
"5254",-2,0
"7254",6,0
"8254",12,0
"9254",3,0
"10241",10,0
"12153",-4,2
"21154",-10,2
"31154",-14,6
"41154",2,2
"51154",-10,0
"71154",-3,1
"81154",1,0
"91153",1,1
"101135",0,1
"11214",-8,2
"1395",-5,4
"2255",-10,0
"3255",-4,2
"4255",-9,2
"5255",-7,1
"7255",-2,2
"8255",-1,0
"9255",2,0
"10242",-4,0
"11215",0,0
"12154",-10,1
"1396",3,2
"21155",12,0
"31155",8,0
"41155",-6,4
"51155",2,0
"71155",5,0
"81155",10,3
"91154",16,0
"1397",-22,2
"2256",-34,0
"3256",-26,4
"4256",-29,2
"5256",-34,1
"7256",-10,1
"8256",-7,1
"9256",0,0
"10243",-10,1
"11216",-3,3
"12155",31,2
"21156",32,2
"31156",32,2
"41156",35,2
"51156",31,2
"71156",4,2
"81156",9,3
"91155",-4,2
"101136",2,2
"111106",3,0
"1398",0,1
"2257",14,2
"3257",1,3
"4257",11,1
"5257",-1,0
"7257",-2,0
"8257",7,2
"9257",0,0
"11217",3,3
"21157",-3,1
"31157",1,0
"41157",-5,4
"51157",5,1
"71157",-12,1
"81157",-11,1
"91156",-8,3
"10244",0,0
"1399",1,2
"2258",7,0
"3258",9,1
"4258",-6,0
"5258",3,1
"7258",-10,0
"8258",-4,0
"9258",-4,2
"10245",-5,4
"11218",4,1
"12156",-4,2
"21158",-3,1
"31158",-2,0
"41158",2,2
"51158",2,2
"71158",6,0
"81158",3,0
"91157",1,1
"1400",-10,1
"2259",-6,3
"3259",5,3
"4259",2,3
"5259",-12,3
"7259",12,2
"8259",6,0
"9259",10,1
"10246",-2,0
"12157",1,5
"21159",5,4
"31159",5,0
"41159",3,1
"51159",7,2
"71159",-6,0
"81159",-1,3
"91158",-6,0
"101137",-13,0
"11219",0,0
"1401",-1,2
"2260",6,4
"3260",-11,0
"4260",0,1
"5260",12,0
"7260",0,0
"8260",3,3
"9260",6,1
"10247",5,1
"11220",1,2
"21160",-7,1
"31160",2,3
"41160",-11,2
"51160",1,1
"71160",-3,0
"81160",3,0
"91159",-3,1
"101138",-3,0
"1402",22,0
"2261",20,2
"3261",24,1
"4261",16,3
"5261",21,0
"7261",11,2
"8261",16,1
"9261",2,0
"10248",4,0
"11221",16,0
"12158",8,1
"13100",-14,0
"21161",-21,4
"31161",-22,6
"41161",-34,2
"51161",-24,0
"71161",-9,2
"81161",-12,0
"91160",-10,1
"101139",-4,3
"111107",-10,1
"1403",-25,2
"2262",-14,2
"3262",-14,1
"4262",-14,4
"5262",-18,2
"7262",0,1
"8262",10,1
"9262",14,0
"10249",-7,4
"11222",8,0
"12159",15,2
"13101",26,2
"21162",24,3
"31162",-2,2
"41162",25,2
"51162",15,3
"71162",3,3
"81162",-17,0
"91161",-7,1
"101140",-16,0
"111108",-6,0
"1404",5,2
"2263",-1,1
"3263",3,2
"4263",6,2
"5263",-10,2
"7263",-4,0
"8263",-17,1
"9263",-7,1
"12160",-5,3
"21163",-11,3
"31163",4,1
"41163",-1,2
"51163",5,1
"71163",12,1
"81163",12,0
"91162",1,1
"10250",0,0
"11223",8,3
"1405",-13,3
"2264",-9,0
"3264",-19,3
"4264",-19,3
"5264",-31,1
"7264",-24,0
"8264",-7,1
"9264",7,0
"10251",-6,6
"11224",6,1
"12161",-6,1
"13102",6,2
"1427",20,0
"21164",0,4
"31164",15,2
"41164",23,2
"51164",19,2
"71164",-2,0
"81164",23,2
"91163",12,1
"101141",12,4
"111109",-7,1
"1406",8,2
"2265",21,0
"3265",13,0
"4265",15,1
"5265",14,3
"7265",-4,1
"8265",7,2
"9265",0,0
"10252",-1,1
"11225",2,1
"12162",-19,2
"21165",-15,5
"31165",-1,2
"41165",-11,3
"51165",-5,1
"71165",0,1
"81165",0,0
"91164",-13,3
"101142",-6,1
"111110",-5,0
"1407",2,1
"2266",-3,3
"3266",4,4
"4266",2,2
"5266",-6,2
"7266",-6,1
"8266",-5,2
"9266",-5,1
"10253",-13,0
"11226",3,1
"21166",6,0
"31166",-1,2
"41166",8,4
"51166",4,1
"71166",3,0
"81166",8,2
"91165",-1,2
"1408",-5,3
"2267",-5,1
"3267",7,2
"4267",-5,1
"5267",-11,3
"7267",2,0
"8267",-3,2
"9267",-2,0
"10254",-4,0
"11227",-4,1
"12163",5,0
"21167",9,0
"31167",1,2
"41167",3,3
"51167",2,4
"71167",3,2
"81167",3,0
"91166",4,0
"1409",-15,2
"2268",-13,1
"3268",-9,2
"4268",-11,0
"5268",-29,2
"7268",-19,2
"8268",-4,0
"9268",6,1
"10255",-15,1
"11228",-13,1
"12164",-23,0
"13103",19,0
"21168",33,0
"31168",26,2
"41168",34,2
"51168",21,0
"71168",-2,0
"81168",-2,2
"91167",-5,0
"101143",3,1
"111111",15,2
"12165",3,2
"1428",8,0
"2269",7,0
"3269",13,1
"4269",3,2
"5269",13,4
"7269",-7,0
"8269",12,0
"9269",8,2
"10256",11,1
"11229",-1,1
"12166",-2,1
"13104",-14,2
"21169",-3,0
"31169",-1,2
"41169",-5,2
"51169",-10,0
"71169",-3,2
"81169",-5,0
"91168",-12,0
"101144",-4,0
"111112",-8,2
"1429",11,2
"2270",17,2
"3270",16,4
"4270",12,2
"5270",24,3
"7270",-3,2
"8270",0,1
"9270",0,1
"10257",3,1
"13105",-21,2
"21170",-14,0
"31170",-24,1
"41170",-27,2
"51170",-23,0
"71170",0,1
"81170",6,2
"91169",-3,1
"101145",12,2
"11230",7,1
"12167",7,2
"1430",-19,4
"2271",-21,1
"3271",-11,0
"4271",0,6
"5271",-11,3
"7271",-13,2
"8271",0,0
"9271",-4,0
"10258",-2,0
"11231",-3,2
"12168",4,0
"13106",-10,1
"1611",8,0
"21171",13,3
"31171",3,4
"41171",14,1
"51171",7,2
"71171",10,1
"81171",7,1
"91170",-4,1
"101146",-2,0
"111113",8,2
"12169",-2,0
"13112",4,0
"1431",7,0
"1512",17,0
"1432",-10,2
"2272",-2,1
"3272",-6,3
"4272",-4,0
"5272",-7,2
"7272",10,2
"8272",-2,0
"9272",4,0
"10259",2,0
"11232",6,0
"12170",-3,0
"13107",2,3
"1433",6,0
"21172",3,1
"31172",5,0
"41172",8,0
"51172",3,1
"71172",-2,1
"81172",-4,1
"91171",-9,0
"1434",-8,1
"2273",-12,0
"3273",-16,3
"4273",-8,5
"5273",9,1
"7273",0,0
"8273",-15,0
"9273",-5,0
"10260",-4,1
"11233",-1,1
"12171",9,0
"21173",3,2
"31173",8,0
"41173",16,0
"51173",1,1
"71173",9,0
"81173",-1,1
"91172",21,2
"101147",-6,0
"1435",-17,0
"2274",-21,0
"3274",-17,3
"4274",-18,0
"5274",-5,5
"7274",5,1
"8274",-3,2
"9274",3,0
"10261",-15,2
"11234",0,0
"12172",3,0
"1436",18,1
"21174",21,3
"31174",16,3
"41174",21,3
"51174",7,1
"71174",-2,0
"81174",12,3
"91173",2,2
"101148",-7,0
"111114",0,0
"12173",-4,0
"13108",1,0
"1437",12,0
"2275",1,1
"3275",4,2
"4275",3,1
"5275",-3,0
"7275",3,0
"8275",-4,0
"9275",3,2
"10262",1,0
"11235",-3,1
"21175",-7,3
"31175",-3,1
"41175",-4,2
"51175",-3,2
"71175",8,0
"81175",-4,2
"91174",-2,0
"101149",-2,0
"1438",-11,2
"2276",-19,1
"3276",-10,2
"4276",-22,2
"5276",-13,2
"7276",-2,0
"8276",-12,2
"9276",-8,2
"10263",-7,0
"11236",-17,1
"12174",1,0
"13109",8,0
"21176",9,2
"31176",16,3
"41176",18,2
"51176",-1,0
"71176",19,2
"81176",19,1
"91175",10,1
"101150",2,0
"111115",20,1
"1439",-4,1
"2277",3,3
"3277",11,2
"4277",-5,3
"5277",-4,1
"7277",-8,2
"8277",9,0
"9277",-3,1
"10264",3,4
"11237",13,1
"12175",2,0
"21177",-5,2
"31177",1,1
"41177",-9,2
"51177",3,1
"71177",-3,1
"81177",7,2
"91176",3,0
"101151",-14,1
"1440",26,1
"2278",22,1
"3278",25,1
"4278",23,0
"5278",23,2
"7278",8,5
"8278",1,2
"9278",2,0
"10265",4,0
"11238",11,5
"12176",-21,6
"21178",-28,2
"31178",-15,4
"41178",-24,1
"51178",-18,3
"71178",-7,2
"81178",-5,3
"91177",-15,2
"101152",-12,3
"1441",3,3
"2279",19,1
"3279",9,3
"4279",14,1
"5279",11,1
"7279",18,0
"8279",16,2
"9279",2,1
"10266",4,0
"11239",19,1
"13113",-12,6
"21179",-5,1
"31179",-13,0
"41179",-6,1
"51179",-3,1
"71179",-10,3
"81179",-18,1
"91178",-6,0
"101153",-5,0
"111116",-14,1
"12177",-23,1
"1442",-7,1
"2280",0,0
"3280",-15,1
"4280",-15,0
"5280",-3,0
"7280",-20,3
"8280",-2,1
"9280",-10,2
"10267",-5,1
"11240",-8,1
"12178",17,1
"21180",26,1
"31180",24,1
"41180",26,0
"51180",29,2
"71180",0,0
"81180",-9,0
"91179",-12,0
"101154",-4,0
"111117",-12,1
"1443",-4,0
"2281",24,1
"3281",17,1
"4281",8,0
"5281",22,1
"7281",19,0
"8281",5,1
"9281",2,0
"10268",4,0
"11241",12,3
"12179",6,0
"13114",-12,0
"21181",-19,1
"31181",-12,2
"41181",-20,2
"51181",-17,0
"71181",-8,1
"81181",-13,1
"91180",-2,1
"101155",-12,0
"1444",-7,1
"2282",-1,3
"3282",0,2
"4282",-15,3
"5282",-8,1
"7282",-6,0
"8282",9,0
"9282",-11,0
"10269",9,0
"11242",14,2
"21182",7,2
"31182",10,0
"41182",-1,1
"51182",14,0
"71182",-1,1
"81182",-5,1
"91181",-8,1
"101156",0,0
"1445",14,1
"2283",25,0
"3283",22,2
"4283",26,2
"5283",17,0
"7283",-5,5
"8283",-5,1
"9283",0,0
"10270",0,0
"11243",3,3
"12180",3,0
"13115",-21,1
"21183",-18,2
"31183",-19,0
"41183",-24,0
"51183",-24,0
"71183",4,2
"81183",1,1
"91182",-2,0
"101157",4,0
"111118",-1,1
"1446",-11,1
"2284",-15,0
"3284",-22,2
"4284",-6,1
"5284",-4,1
"7284",-13,0
"8284",-18,1
"9284",6,0
"10271",6,0
"11244",-21,0
"12181",-7,1
"13116",10,3
"21184",16,1
"31184",23,1
"41184",21,1
"51184",21,4
"71184",3,0
"81184",-3,0
"91183",14,0
"1447",27,0
"2285",18,1
"3285",26,2
"4285",22,1
"5285",24,0
"7285",4,1
"8285",11,3
"9285",4,1
"10272",1,0
"11245",5,0
"12182",3,0
"13117",-10,0
"21185",-17,1
"31185",-15,1
"41185",-18,1
"51185",-11,1
"71185",-15,2
"81185",-10,1
"91184",-10,1
"101158",-7,0
"111119",-14,0
"12183",-18,3
"1448",-26,2
"2286",-24,3
"3286",-28,1
"4286",-20,5
"5286",-11,3
"7286",-8,0
"8286",-3,0
"9286",2,0
"10273",-9,2
"11246",-1,0
"12184",-17,1
"13118",26,0
"21186",26,2
"31186",6,3
"41186",3,3
"51186",26,2
"71186",7,1
"81186",8,1
"91185",1,0
"101159",1,0
"111120",18,1
"12185",23,0
"1449",-22,3
"2287",-32,1
"3287",-38,3
"4287",-19,0
"5287",-36,2
"7287",-16,1
"8287",8,0
"9287",3,0
"10274",-2,0
"11247",5,0
"12186",-7,4
"13119",11,1
"1450",25,0
"21187",28,0
"31187",33,2
"41187",1,2
"51187",35,3
"71187",1,0
"81187",26,0
"91186",-6,0
"101160",-5,0
"111121",-10,1
"12187",17,1
"1451",-3,1
"2288",7,0
"3288",-2,3
"4288",5,1
"5288",1,2
"7288",3,2
"8288",6,0
"9288",13,0
"11248",-10,0
"21188",-18,0
"31188",-23,1
"41188",4,0
"51188",-9,3
"71188",1,0
"81188",14,0
"91187",17,0
"10275",-6,0
"1452",-9,0
"2289",-13,2
"3289",-13,1
"4289",-15,2
"5289",-9,3
"7289",-1,0
"8289",1,0
"9289",-4,1
"10276",-2,0
"11249",15,2
"21189",14,0
"31189",13,2
"41189",15,1
"51189",17,2
"71189",-3,1
"81189",-3,0
"91188",-3,2
"1453",-17,0
"2290",-2,0
"3290",-13,6
"4290",-2,2
"5290",-11,5
"7290",4,0
"8290",-4,2
"9290",-3,0
"10277",3,2
"11250",17,0
"21190",8,1
"31190",16,2
"41190",15,4
"51190",11,7
"71190",-7,1
"81190",-7,1
"91189",-8,0
"1454",-11,1
"2291",-15,0
"3291",1,2
"4291",-8,1
"5291",-10,1
"7291",-1,0
"8291",21,2
"9291",1,2
"10278",6,1
"11251",6,1
"12188",5,2
"21191",5,1
"31191",12,3
"41191",15,3
"51191",10,2
"71191",2,0
"81191",-10,0
"91190",-2,0
"101161",-8,1
"111122",-19,0
"1455",19,3
"2292",10,1
"3292",14,0
"4292",12,1
"5292",8,1
"7292",-7,0
"8292",6,2
"9292",11,0
"10279",-1,1
"11252",13,0
"12189",-8,1
"21192",-18,3
"31192",-15,5
"41192",-20,0
"51192",-9,2
"71192",-2,0
"81192",-5,0
"91191",-1,0
"101162",-4,0
"111123",-3,1
"1456",-9,0
"2293",-15,3
"3293",-13,5
"4293",-25,1
"5293",-19,3
"7293",-2,1
"8293",4,1
"9293",-2,0
"10280",3,0
"11253",3,0
"12190",13,4
"21193",30,1
"31193",3,2
"41193",16,5
"51193",13,2
"71193",-9,2
"81193",1,0
"91192",-4,0
"101163",12,2
"1457",-6,2
"2294",-8,2
"3294",-4,0
"4294",-16,1
"5294",-15,2
"7294",-4,1
"8294",-3,1
"9294",1,1
"10281",5,0
"11254",4,3
"21194",12,1
"31194",20,2
"41194",10,0
"51194",15,2
"71194",-1,1
"81194",-3,0
"91193",-7,2
"1458",-4,0
"2295",5,1
"3295",-3,1
"4295",1,1
"5295",1,2
"7295",3,0
"8295",1,1
"9295",6,0
"11255",-1,4
"21195",1,2
"31195",5,0
"41195",8,1
"51195",-3,0
"71195",-5,0
"81195",-9,5
"91194",-5,0
"10282",-1,0
"1459",-8,2
"2296",-7,1
"3296",-2,0
"4296",3,0
"5296",-5,1
"7296",6,0
"8296",-8,0
"9296",1,0
"10283",-6,3
"11256",1,0
"12191",6,0
"21196",12,0
"31196",5,3
"41196",2,1
"51196",10,1
"71196",-4,0
"81196",3,1
"91195",-9,1
"101164",0,0
"1460",7,1
"2297",2,0
"3297",0,2
"4297",10,3
"5297",-3,1
"7297",-1,2
"8297",4,1
"9297",0,0
"10284",9,0
"11257",-8,1
"12192",-5,3
"21197",-9,2
"31197",-1,2
"41197",8,3
"51197",-14,1
"71197",0,2
"81197",3,0
"91196",3,0
"101165",1,1
"111124",-6,0
"1461",-12,2
"2298",-14,1
"3298",-7,1
"4298",-10,3
"5298",-5,4
"7298",-4,1
"8298",5,0
"9298",-2,1
"10285",-1,1
"11258",18,2
"21198",11,1
"31198",12,1
"41198",7,5
"51198",14,0
"71198",-4,2
"81198",-3,1
"91197",1,1
"101166",-6,0
"1462",2,2
"2299",3,1
"3299",7,1
"4299",5,3
"5299",2,3
"7299",-6,0
"8299",6,0
"9299",-4,0
"10286",-5,0
"11259",5,1
"12193",4,1
"21199",2,1
"31199",-1,0
"41199",-6,4
"51199",-6,3
"71199",-7,2
"81199",-7,0
"91198",6,0
"101167",0,1
"1463",-19,3
"2300",-5,1
"3300",-3,1
"4300",-12,1
"5300",-13,0
"7300",-1,0
"8300",14,0
"9300",14,1
"12194",6,0
"21200",6,4
"31200",8,2
"41200",8,1
"51200",15,2
"71200",2,0
"81200",-11,1
"91199",-5,0
"10287",-1,1
"11260",-3,1
"1464",12,1
"2301",18,1
"3301",9,0
"4301",14,2
"5301",11,4
"7301",0,1
"8301",0,0
"9301",-3,0
"10288",1,1
"11261",-2,1
"13120",-18,1
"21201",-14,1
"31201",-18,3
"41201",-12,2
"51201",-18,1
"71201",5,2
"81201",7,1
"91200",1,1
"101168",1,2
"111125",4,2
"12195",2,0
"1465",11,2
"2302",8,3
"3302",-3,2
"4302",6,0
"5302",-1,1
"7302",12,4
"8302",-2,0
"9302",1,0
"10289",0,0
"11262",2,0
"12196",11,1
"13121",-7,2
"21202",-8,1
"31202",-4,2
"41202",-7,4
"51202",-10,2
"71202",2,0
"81202",-8,0
"91201",-2,0
"101169",0,3
"111126",-1,1
"1466",-5,1
"2303",7,3
"3303",-1,1
"4303",-4,1
"5303",-2,3
"7303",-19,0
"8303",-9,1
"9303",-19,2
"10290",-9,0
"11263",4,0
"12197",-8,2
"13122",11,0
"21203",-8,1
"31203",8,3
"41203",3,3
"51203",-1,0
"71203",13,1
"81203",20,1
"91202",3,0
"101170",11,5
"111127",5,2
"1467",-9,0
"2304",-10,0
"3304",-5,0
"4304",-11,1
"5304",-19,3
"7304",-1,0
"8304",-15,1
"9304",-5,1
"10291",-5,2
"11264",-10,3
"13123",18,2
"21204",22,3
"31204",15,1
"41204",8,1
"51204",13,1
"71204",5,1
"81204",10,1
"91203",-7,3
"101171",-7,0
"111128",10,0
"12198",3,0
"1468",-10,1
"2305",-3,5
"3305",-1,0
"4305",-3,1
"5305",-4,0
"7305",-2,3
"8305",3,2
"9305",-2,0
"10292",1,2
"11265",-1,0
"12199",2,2
"13124",0,3
"21205",16,2
"31205",9,3
"41205",2,0
"51205",6,2
"71205",1,0
"81205",-2,2
"91204",-3,0
"101172",-4,2
"111129",-5,3
"1469",-10,3
"2306",-9,0
"3306",2,3
"4306",-5,4
"5306",4,2
"7306",-7,1
"8306",-8,3
"9306",3,0
"10293",0,0
"11266",-16,1
"12200",-14,2
"13125",8,9
"21206",15,0
"31206",0,2
"41206",-4,0
"51206",16,0
"71206",1,0
"81206",18,1
"91205",6,2
"1470",-6,1
"2307",-4,5
"3307",-6,2
"4307",11,2
"5307",-18,2
"7307",3,1
"8307",0,4
"9307",3,1
"10294",3,1
"11267",-6,2
"12201",5,0
"13126",8,1
"21207",8,6
"31207",12,1
"41207",9,2
"51207",3,2
"71207",-9,0
"81207",-5,0
"91206",-2,1
"101173",-9,1
"1471",-10,0
"2308",-13,3
"3308",-19,2
"4308",-19,2
"5308",-19,3
"7308",-4,3
"8308",2,0
"9308",2,2
"10295",0,1
"11268",-5,2
"12202",14,1
"21208",18,3
"31208",16,0
"41208",17,0
"51208",23,2
"71208",-2,1
"81208",1,2
"91207",1,0
"101174",0,1
"111130",-3,0
"1472",-20,1
"2309",-21,5
"3309",-25,2
"4309",-21,1
"5309",-33,3
"7309",1,0
"8309",-8,3
"9309",-9,1
"10296",-16,0
"11269",-8,2
"12203",23,1
"21209",22,0
"31209",22,0
"41209",17,3
"51209",15,3
"71209",15,0
"81209",10,1
"91208",11,0
"101175",15,1
"111131",10,1
"1473",-5,2
"2310",4,4
"3310",-14,4
"4310",-11,2
"5310",-9,0
"7310",1,1
"8310",-12,0
"9310",-3,0
"10297",3,0
"11270",6,1
"12204",4,3
"21210",4,1
"31210",8,1
"41210",12,3
"51210",1,0
"71210",7,1
"81210",1,0
"91209",9,2
"101176",-6,1
"1474",3,2
"2311",9,1
"3311",2,4
"4311",1,2
"5311",5,3
"7311",6,1
"8311",-4,2
"9311",2,1
"10298",1,1
"12205",-6,2
"21211",-2,0
"31211",0,0
"41211",-8,2
"51211",-1,4
"71211",-5,0
"81211",-4,0
"91210",1,1
"101177",1,4
"11271",-1,0
"1475",-6,1
"2312",10,0
"3312",-2,1
"4312",-5,0
"5312",-3,1
"7312",-14,0
"8312",2,1
"9312",-4,0
"10299",-8,0
"11272",5,1
"21212",9,4
"31212",-7,6
"41212",3,3
"51212",-7,2
"71212",12,0
"81212",6,0
"91211",-3,0
"101178",12,0
"1476",-2,2
"2313",-19,4
"3313",-13,2
"4313",-13,1
"5313",-16,6
"7313",-12,2
"8313",9,2
"9313",2,1
"10300",1,0
"11273",3,1
"12206",7,1
"21213",9,2
"31213",5,0
"41213",10,3
"51213",12,2
"71213",4,3
"81213",8,1
"91212",5,3
"101179",0,0
"1477",-9,1
"2314",-17,1
"3314",-14,3
"4314",-19,2
"5314",-5,1
"7314",3,0
"8314",-8,4
"9314",0,5
"10301",-1,1
"12207",26,0
"21214",19,2
"31214",22,0
"41214",22,3
"51214",21,0
"71214",-5,3
"81214",-10,2
"91213",-8,3
"101180",-6,1
"11274",-11,0
"1478",-4,2
"2315",-6,3
"3315",2,4
"4315",-1,2
"5315",-5,2
"7315",0,1
"8315",-8,0
"9315",-2,1
"10302",-1,0
"11275",13,2
"21215",5,0
"31215",10,1
"41215",9,3
"51215",2,3
"71215",-2,0
"81215",-8,1
"91214",-4,1
"1479",-5,1
"2316",-10,2
"3316",-7,3
"4316",-9,0
"5316",-3,6
"7316",-4,0
"8316",-3,1
"9316",-4,0
"10303",-11,2
"11276",-4,0
"12208",15,2
"21216",17,5
"31216",5,1
"41216",6,0
"51216",12,1
"71216",9,1
"81216",-3,0
"91215",-7,0
"101181",0,0
"111132",6,2
"1480",-6,3
"2317",-3,2
"3317",-3,0
"4317",-7,7
"5317",5,0
"7317",0,1
"8317",-10,1
"9317",-1,0
"10304",-6,1
"11277",1,0
"12209",15,0
"21217",5,3
"31217",-6,4
"41217",10,3
"51217",6,6
"71217",2,0
"81217",2,2
"91216",-4,0
"1481",24,3
"2318",23,4
"3318",14,1
"4318",10,1
"5318",23,1
"7318",0,2
"8318",-9,1
"9318",-9,1
"10305",-10,1
"11278",10,2
"12210",-6,1
"13127",-22,2
"21218",-4,2
"31218",-20,2
"41218",-4,1
"51218",-13,1
"71218",6,0
"81218",-4,1
"91217",1,2
"101182",-10,3
"1482",-6,4
"2319",-14,2
"3319",-5,1
"4319",-7,2
"5319",-15,3
"7319",-15,1
"8319",-17,0
"9319",-12,1
"10306",-8,1
"11279",-16,0
"1483",3,1
"21219",7,1
"31219",5,1
"41219",-10,0
"51219",12,2
"71219",29,1
"81219",3,0
"91218",4,1
"101183",30,0
"111133",3,0
"12211",26,1
"13128",3,0
"1484",-16,1
"2320",-8,3
"3320",-11,1
"4320",-15,0
"5320",-15,2
"7320",-11,4
"8320",-9,1
"9320",-12,0
"10307",-7,2
"11280",-6,0
"12212",14,0
"21220",27,4
"31220",13,0
"41220",8,3
"51220",27,0
"71220",9,2
"81220",8,1
"91219",-5,0
"101184",13,2
"111134",-4,1
"1485",-2,3
"2321",4,3
"3321",-5,0
"4321",-2,3
"5321",-16,4
"7321",-11,1
"8321",-3,1
"9321",-3,0
"10308",-3,2
"11281",1,2
"12213",1,3
"21221",3,0
"31221",1,1
"41221",6,4
"51221",11,0
"71221",5,2
"81221",7,2
"91220",6,3
"101185",0,1
"1486",-14,1
"2322",-26,1
"3322",-11,2
"4322",-12,3
"5322",-22,1
"7322",-25,0
"8322",-15,2
"9322",-6,0
"10309",-12,1
"11282",-26,1
"12214",-1,1
"1487",20,3
"21222",13,0
"31222",8,1
"41222",20,0
"51222",26,3
"71222",23,0
"81222",1,0
"91221",11,1
"101186",10,0
"111135",7,0
"121100",27,0
"13129",4,0
