"","Player","Season","Age","Tm","WS","G","GS","MP","FG","FGPM","FGA","FGAPM","X2P","X2PPM","X2PA","X2PAPM","X3P","X3PPM","X3PA","X3PAPM","FT","FTPM","FTA","FTAPM","ORB","ORBPM","TRB","TRBPM","DRB","DRBPM","AST","ASPM","STL","SPM","BLK","BPM","TOV","TPM","PF","PFPM","PTS","PPM","APM","RAPM","Salary"
"79","Kaela Davis",2019,24,"DAL",-1.8,33,16,634,76,4.315,231,13.117,60,3.407,180,10.221,16,0.909,51,2.896,29,1.647,33,1.874,16,0.909,73,4.145,57,3.237,69,3.918,18,1.022,6,0.341,73,4.145,79,4.486,197,11.186,-0.521,-0.044,47798
"80","Kahleah Copper",2019,24,"CHI",0,34,0,502,79,5.665,204,14.629,64,4.59,155,11.116,15,1.076,49,3.514,54,3.873,70,5.02,12,0.861,64,4.59,52,3.729,30,2.151,14,1.004,3,0.215,43,3.084,51,3.657,227,16.279,1.445,0.152,59718
"81","Kalani Brown",2019,22,"LAS",1.2,28,0,377,54,5.156,113,10.79,54,5.156,112,10.695,0,0,1,0.095,36,3.438,46,4.393,34,3.247,98,9.358,64,6.111,17,1.623,9,0.859,22,2.101,29,2.769,47,4.488,144,13.751,0.793,0.037,49539
"82","Kaleena Mosqueda-Lewis",2019,25,"SEA",-0.1,31,4,435,65,5.379,163,13.49,37,3.062,81,6.703,28,2.317,82,6.786,14,1.159,14,1.159,9,0.745,36,2.979,27,2.234,16,1.324,8,0.662,5,0.414,36,2.979,40,3.31,172,14.234,3.326,0.19,70000
"83","Karima Christmas-Kelly",2019,29,"MIN",0,6,0,72,5,2.5,18,9,2,1,7,3.5,3,1.5,11,5.5,3,1.5,5,2.5,1,0.5,5,2.5,4,2,6,3,5,2.5,1,0.5,4,2,8,4,16,8,-3.419,-0.191,102000
"84","Karlie Samuelson",2019,24,"TOT",0,7,0,84,3,1.286,14,6,0,0,2,0.857,3,1.286,12,5.143,0,0,0,0,1,0.429,4,1.714,3,1.286,5,2.143,3,1.286,1,0.429,0,0,8,3.429,9,3.857,5.163,0.405,41965
"85","Katie Lou Samuelson",2019,22,"CHI",0.3,20,0,153,12,2.824,38,8.941,4,0.941,9,2.118,8,1.882,29,6.824,16,3.765,20,4.706,4,0.941,17,4,13,3.059,7,1.647,6,1.412,2,0.471,5,1.176,15,3.529,48,11.294,8.273,1.106,53537
"86","Kayla Alexander",2019,28,"CHI",0.1,3,0,20,3,5.4,4,7.2,3,5.4,4,7.2,0,0,0,0,3,5.4,4,7.2,2,3.6,7,12.6,5,9,1,1.8,0,0,0,0,1,1.8,3,5.4,9,16.2,-11.139,-0.488,6069
"87","Kayla McBride",2019,27,"LVA",3.7,34,34,990,152,5.527,358,13.018,90,3.273,213,7.745,62,2.255,145,5.273,87,3.164,96,3.491,22,0.8,141,5.127,119,4.327,88,3.2,41,1.491,3,0.109,59,2.145,46,1.673,453,16.473,0.143,-0.036,115000
"88","Kayla Thornton",2019,26,"DAL",0.6,27,25,822,99,4.336,289,12.657,71,3.109,186,8.146,28,1.226,103,4.511,54,2.365,58,2.54,49,2.146,143,6.263,94,4.117,48,2.102,25,1.095,8,0.35,44,1.927,60,2.628,280,12.263,1.24,0.362,86000
"89","Kelsey Mitchell",2019,23,"IND",1.1,34,20,852,167,7.056,432,18.254,88,3.718,221,9.338,79,3.338,211,8.915,51,2.155,61,2.577,4,0.169,56,2.366,52,2.197,90,3.803,15,0.634,4,0.169,57,2.408,57,2.408,464,19.606,7.605,0.989,53616
"90","Kelsey Plum",2019,24,"LVA",1.2,34,30,868,107,4.438,293,12.152,62,2.571,168,6.968,45,1.866,125,5.184,34,1.41,39,1.618,15,0.622,97,4.023,82,3.401,102,4.23,27,1.12,4,0.166,53,2.198,76,3.152,293,12.152,-0.077,-0.047,57886
"91","Kenisha Bell",2019,23,"MIN",0,3,0,11,0,0,1,3.273,0,0,0,0,0,0,1,3.273,0,0,0,0,0,0,1,3.273,1,3.273,1,3.273,0,0,0,0,1,3.273,1,3.273,0,0,7.307,0.235,41695
"92","Kennedy Burke",2019,22,"IND",0.6,31,7,423,45,3.83,117,9.957,31,2.638,77,6.553,14,1.191,40,3.404,31,2.638,44,3.745,18,1.532,45,3.83,27,2.298,22,1.872,18,1.532,10,0.851,21,1.787,30,2.553,135,11.489,7.017,0.809,41965
"93","Kia Nurse",2019,23,"NYL",1.9,34,34,1001,142,5.107,361,12.983,77,2.769,177,6.366,65,2.338,184,6.617,116,4.172,133,4.783,19,0.683,85,3.057,66,2.374,78,2.805,25,0.899,4,0.144,56,2.014,60,2.158,465,16.723,9.413,1.888,44273
"94","Kim Mestdagh",2019,29,"WAS",0.1,15,0,71,7,3.549,18,9.127,1,0.507,3,1.521,6,3.042,15,7.606,2,1.014,2,1.014,1,0.507,4,2.028,3,1.521,6,3.042,2,1.014,0,0,6,3.042,5,2.535,22,11.155,-8.823,-0.665,41965
"95","Kristi Toliver",2019,32,"WAS",3.3,23,23,678,116,6.159,235,12.478,80,4.248,135,7.168,36,1.912,100,5.31,30,1.593,35,1.858,11,0.584,67,3.558,56,2.973,137,7.274,27,1.434,2,0.106,47,2.496,31,1.646,298,15.823,-3.184,-0.628,115000
"96","Kristine Anigwe",2019,22,"TOT",0.1,27,0,250,22,3.168,68,9.792,22,3.168,68,9.792,0,0,0,0,22,3.168,32,4.608,28,4.032,66,9.504,38,5.472,6,0.864,9,1.296,8,1.152,17,2.448,39,5.616,66,9.504,5.428,0.546,44207
"97","LaToya Sanders",2019,32,"WAS",3.4,34,34,804,87,3.896,172,7.701,87,3.896,172,7.701,0,0,0,0,33,1.478,37,1.657,44,1.97,186,8.328,142,6.358,66,2.955,30,1.343,47,2.104,30,1.343,71,3.179,207,9.269,7.567,1.62,115000
"98","Layshia Clarendon",2019,28,"CON",0.6,9,0,138,18,4.696,43,11.217,16,4.174,41,10.696,2,0.522,2,0.522,18,4.696,21,5.478,7,1.826,22,5.739,15,3.913,19,4.957,3,0.783,0,0,8,2.087,7,1.826,56,14.609,-0.411,0.117,93400
"99","Leilani Mitchell",2019,34,"PHO",3.5,32,27,971,134,4.968,304,11.271,60,2.225,132,4.894,74,2.744,172,6.377,68,2.521,82,3.04,16,0.593,96,3.559,80,2.966,128,4.746,30,1.112,10,0.371,58,2.15,78,2.892,410,15.201,-1.314,-0.524,96757
"100","Lexie Brown",2019,24,"MIN",1.6,33,0,605,84,4.998,209,12.436,32,1.904,74,4.403,52,3.094,135,8.033,30,1.785,38,2.261,7,0.417,45,2.678,38,2.261,47,2.797,31,1.845,1,0.06,41,2.44,42,2.499,250,14.876,3.218,0.476,44273
"101","Liz Cambage",2019,27,"LVA",4.1,32,30,807,196,8.743,389,17.353,194,8.654,377,16.818,2,0.089,12,0.535,116,5.175,155,6.914,63,2.81,261,11.643,198,8.833,68,3.033,19,0.848,51,2.275,72,3.212,88,3.926,510,22.751,4.811,1.495,115000
"102","Maite Cazorla",2019,22,"ATL",-0.2,31,1,477,29,2.189,93,7.019,16,1.208,38,2.868,13,0.981,55,4.151,21,1.585,24,1.811,2,0.151,21,1.585,19,1.434,49,3.698,18,1.358,1,0.075,29,2.189,22,1.66,92,6.943,-1.962,-0.047,42570
"103","Maria Vadeeva",2019,20,"LAS",0.7,15,1,180,51,10.2,104,20.8,46,9.2,88,17.6,5,1,16,3.2,10,2,13,2.6,18,3.6,58,11.6,40,8,10,2,15,3,3,0.6,18,3.6,23,4.6,117,23.4,4.464,0.511,44273
"104","Marie Gulich",2019,25,"ATL",-0.1,31,1,349,39,4.023,108,11.14,31,3.198,83,8.562,8,0.825,25,2.579,16,1.65,22,2.269,35,3.61,85,8.768,50,5.158,19,1.96,5,0.516,24,2.476,32,3.301,62,6.395,102,10.521,0.494,-0.14,44273
"105","Marina Mabrey",2019,22,"LAS",0.3,31,0,355,45,4.563,131,13.285,24,2.434,54,5.476,21,2.13,77,7.808,14,1.42,16,1.623,6,0.608,38,3.854,32,3.245,30,3.042,19,1.927,7,0.71,24,2.434,23,2.332,125,12.676,-7.446,-1.3,42570
"106","Marine Johannes",2019,24,"NYL",0.7,19,0,345,48,5.009,110,11.478,23,2.4,44,4.591,25,2.609,66,6.887,15,1.565,19,1.983,9,0.939,34,3.548,25,2.609,46,4.8,8,0.835,3,0.313,22,2.296,30,3.13,136,14.191,-3.992,-0.682,41965
"107","Megan Gustafson",2019,22,"DAL",0.7,25,0,238,27,4.084,55,8.319,26,3.933,46,6.958,1,0.151,9,1.361,18,2.723,20,3.025,20,3.025,63,9.529,43,6.504,7,1.059,4,0.605,6,0.908,10,1.513,26,3.933,73,11.042,7.655,1.043,34194
"108","Mercedes Russell",2019,23,"SEA",3.1,34,30,870,106,4.386,204,8.441,106,4.386,204,8.441,0,0,0,0,42,1.738,65,2.69,81,3.352,207,8.566,126,5.214,35,1.448,37,1.531,17,0.703,33,1.366,85,3.517,254,10.51,-8.036,-1.317,41965
"109","Monique Billings",2019,23,"ATL",0.7,29,2,553,56,3.646,144,9.374,55,3.58,143,9.309,1,0.065,1,0.065,47,3.06,60,3.906,61,3.971,201,13.085,140,9.114,16,1.042,17,1.107,12,0.781,46,2.995,66,4.297,160,10.416,10.039,1.554,42632
"110","Morgan Tuck",2019,25,"CON",0.3,33,0,352,45,4.602,116,11.864,30,3.068,74,7.568,15,1.534,42,4.295,18,1.841,30,3.068,18,1.841,66,6.75,48,4.909,28,2.864,13,1.33,3,0.307,30,3.068,44,4.5,123,12.58,-0.562,0.059,64538
"111","Myisha Hines-Allen",2019,23,"WAS",0.3,27,0,211,25,4.265,69,11.773,19,3.242,53,9.043,6,1.024,16,2.73,7,1.194,12,2.047,25,4.265,58,9.896,33,5.63,24,4.095,9,1.536,11,1.877,21,3.583,32,5.46,63,10.749,4.354,0.326,42632
"112","Napheesa Collier",2019,22,"MIN",5.2,34,34,1131,167,5.316,341,10.854,137,4.361,258,8.212,30,0.955,83,2.642,80,2.546,101,3.215,60,1.91,223,7.098,163,5.188,87,2.769,65,2.069,32,1.019,65,2.069,99,3.151,444,14.133,-5.826,-1.299,49539
"113","Natalie Achonwa",2019,26,"IND",2.7,30,18,636,99,5.604,203,11.491,96,5.434,191,10.811,3,0.17,12,0.679,60,3.396,66,3.736,48,2.717,156,8.83,108,6.113,48,2.717,18,1.019,20,1.132,29,1.642,77,4.358,261,14.774,0.054,1.38,105000
"114","Natasha Cloud",2019,27,"WAS",2.5,34,34,1093,110,3.623,279,9.189,65,2.141,141,4.644,45,1.482,138,4.545,41,1.35,60,1.976,6,0.198,85,2.8,79,2.602,189,6.225,35,1.153,7,0.231,65,2.141,69,2.273,306,10.079,-12.081,-2.899,115000
"115","Natasha Hiedeman",2019,22,"CON",0.8,20,0,205,24,4.215,58,10.185,11,1.932,30,5.268,13,2.283,28,4.917,12,2.107,24,4.215,7,1.229,30,5.268,23,4.039,38,6.673,8,1.405,2,0.351,13,2.283,25,4.39,73,12.82,-4.969,-0.656,NA
"116","Natasha Howard",2019,27,"SEA",4.6,34,34,1066,227,7.666,517,17.46,195,6.585,413,13.947,32,1.081,104,3.512,128,4.323,158,5.336,92,3.107,279,9.422,187,6.315,72,2.432,74,2.499,59,1.992,99,3.343,100,3.377,614,20.735,1.371,1.032,115000
"117","Nayo Raincock-Ekunwe",2019,27,"NYL",0.4,28,1,367,43,4.218,79,7.749,42,4.12,76,7.455,1,0.098,3,0.294,16,1.569,25,2.452,39,3.826,77,7.553,38,3.728,12,1.177,8,0.785,4,0.392,22,2.158,43,4.218,103,10.104,7.564,1.427,41965
"118","Nia Coffey",2019,24,"ATL",0.2,28,6,389,47,4.35,139,12.864,25,2.314,81,7.496,22,2.036,58,5.368,23,2.129,42,3.887,23,2.129,78,7.219,55,5.09,12,1.111,14,1.296,13,1.203,21,1.943,52,4.812,139,12.864,2.46,0.555,53563
"119","Nneka Ogwumike",2019,28,"LAS",5.5,32,32,892,207,8.354,406,16.386,184,7.426,338,13.641,23,0.928,68,2.744,77,3.108,93,3.753,73,2.946,282,11.381,209,8.435,58,2.341,60,2.422,15,0.605,58,2.341,92,3.713,514,20.744,-4.626,-1.55,115000
"120","Odyssey Sims",2019,26,"MIN",2.1,34,34,1083,189,6.283,455,15.125,164,5.452,362,12.033,25,0.831,93,3.091,89,2.958,112,3.723,24,0.798,114,3.789,90,2.992,185,6.15,46,1.529,4,0.133,112,3.723,68,2.26,492,16.355,2.383,0.259,115000
"121","Paris Kea",2019,23,"IND",-0.1,11,0,60,11,6.6,27,16.2,6,3.6,18,10.8,5,3,9,5.4,2,1.2,4,2.4,1,0.6,5,3,4,2.4,6,3.6,1,0.6,2,1.2,9,5.4,4,2.4,29,17.4,-2.936,-0.577,41965
"122","Rachel Banham",2019,25,"CON",-0.2,29,0,353,37,3.773,115,11.728,15,1.53,43,4.385,22,2.244,72,7.343,9,0.918,13,1.326,1,0.102,30,3.059,29,2.958,26,2.652,8,0.816,2,0.204,26,2.652,34,3.467,105,10.708,0.576,0.247,64538
"123","Rebecca Allen",2019,26,"NYL",0.6,24,2,412,65,5.68,156,13.631,36,3.146,88,7.689,29,2.534,68,5.942,13,1.136,16,1.398,12,1.049,61,5.33,49,4.282,17,1.485,12,1.049,18,1.573,17,1.485,51,4.456,172,15.029,8.638,1.29,80000
"124","Renee Montgomery",2019,32,"ATL",0.9,34,34,949,107,4.059,289,10.963,39,1.479,79,2.997,68,2.58,210,7.966,42,1.593,51,1.935,9,0.341,74,2.807,65,2.466,90,3.414,31,1.176,6,0.228,64,2.428,51,1.935,324,12.291,-2.498,-0.39,107000
"125","Reshanda Gray",2019,26,"NYL",0.5,34,10,519,71,4.925,150,10.405,70,4.855,148,10.266,1,0.069,2,0.139,35,2.428,62,4.301,62,4.301,176,12.208,114,7.908,18,1.249,16,1.11,7,0.486,42,2.913,113,7.838,178,12.347,-3.814,-0.707,41965
"126","Riquna Williams",2019,29,"LAS",2,23,14,593,93,5.646,242,14.691,39,2.368,104,6.314,54,3.278,138,8.378,44,2.671,50,3.035,13,0.789,60,3.642,47,2.853,37,2.246,26,1.578,4,0.243,28,1.7,58,3.521,284,17.241,1.575,0.488,110000
"127","Sami Whitcomb",2019,30,"SEA",1.2,33,13,674,82,4.38,224,11.964,19,1.015,40,2.136,63,3.365,184,9.828,11,0.588,11,0.588,17,0.908,57,3.045,40,2.136,78,4.166,36,1.923,4,0.214,52,2.777,49,2.617,238,12.712,6.169,1.196,50000
"128","Sancho Lyttle",2019,35,"PHO",0.2,20,2,250,26,3.744,62,8.928,25,3.6,58,8.352,1,0.144,4,0.576,5,0.72,8,1.152,14,2.016,58,8.352,44,6.336,6,0.864,12,1.728,5,0.72,12,1.728,27,3.888,58,8.352,0.908,0.158,80000
"129","Seimone Augustus",2019,35,"MIN",-0.4,12,7,156,20,4.615,64,14.769,18,4.154,52,12,2,0.462,12,2.769,3,0.692,4,0.923,2,0.462,7,1.615,5,1.154,15,3.462,5,1.154,1,0.231,12,2.769,5,1.154,45,10.385,9.075,1.041,111000
"130","Shao Ting",2019,29,"MIN",-0.1,5,0,27,2,2.667,10,13.333,2,2.667,10,13.333,0,0,0,0,2,2.667,3,4,2,2.667,6,8,4,5.333,2,2.667,0,0,1,1.333,2,2.667,6,8,6,8,-16.031,-0.759,41965
"131","Shatori Walker-Kimbrough",2019,24,"WAS",1.9,34,1,580,76,4.717,176,10.924,54,3.352,105,6.517,22,1.366,71,4.407,53,3.29,57,3.538,17,1.055,53,3.29,36,2.234,42,2.607,28,1.738,8,0.497,34,2.11,41,2.545,227,14.09,-8.98,-1.718,53563
"132","Shavonte Zellous",2019,32,"SEA",0.1,31,4,432,44,3.667,116,9.667,38,3.167,84,7,6,0.5,32,2.667,30,2.5,40,3.333,6,0.5,48,4,42,3.5,45,3.75,10,0.833,6,0.5,35,2.917,44,3.667,124,10.333,0.201,-0.12,65000
"133","Shekinna Stricklen",2019,28,"CON",2.6,34,34,804,104,4.657,255,11.418,28,1.254,56,2.507,76,3.403,199,8.91,22,0.985,27,1.209,9,0.403,65,2.91,56,2.507,39,1.746,34,1.522,7,0.313,28,1.254,79,3.537,306,13.701,2.053,0.81,106000
"134","Shenise Johnson",2019,28,"IND",0.2,17,0,219,30,4.932,90,14.795,22,3.616,57,9.37,8,1.315,33,5.425,15,2.466,16,2.63,11,1.808,35,5.753,24,3.945,18,2.959,12,1.973,2,0.329,12,1.973,17,2.795,83,13.644,6.663,0.504,104000
"135","Shey Peddy",2019,30,"WAS",0.5,15,0,71,8,4.056,13,6.592,4,2.028,5,2.535,4,2.028,8,4.056,6,3.042,6,3.042,1,0.507,9,4.563,8,4.056,8,4.056,4,2.028,0,0,3,1.521,8,4.056,26,13.183,5.858,0.664,2723
"136","Sophie Cunningham",2019,22,"PHO",0.5,32,5,389,28,2.591,79,7.311,14,1.296,33,3.054,14,1.296,46,4.257,30,2.776,34,3.147,6,0.555,45,4.165,39,3.609,25,2.314,11,1.018,4,0.37,20,1.851,53,4.905,100,9.254,-3.385,-0.594,42570
"137","Stefanie Dolson",2019,27,"CHI",2.7,34,34,850,121,5.125,233,9.868,91,3.854,150,6.353,30,1.271,83,3.515,44,1.864,49,2.075,41,1.736,189,8.005,148,6.268,75,3.176,21,0.889,34,1.44,66,2.795,125,5.294,316,13.384,-2.044,-0.009,115000
"138","Stephanie Mavunga",2019,24,"IND",0.6,24,0,204,24,4.235,47,8.294,24,4.235,46,8.118,0,0,1,0.176,12,2.118,17,3,21,3.706,56,9.882,35,6.176,4,0.706,6,1.059,7,1.235,10,1.765,39,6.882,60,10.588,-8.193,-0.278,42632
"139","Stephanie Talbot",2019,25,"MIN",1.1,33,10,561,57,3.658,154,9.882,26,1.668,59,3.786,31,1.989,95,6.096,27,1.733,31,1.989,18,1.155,79,5.07,61,3.914,41,2.631,30,1.925,9,0.578,42,2.695,37,2.374,172,11.037,-10.361,-2.264,43311
"140","Sugar Rodgers",2019,29,"LVA",0.5,33,0,382,40,3.77,111,10.461,10,0.942,27,2.545,30,2.827,84,7.916,3,0.283,5,0.471,4,0.377,48,4.524,44,4.147,39,3.675,13,1.225,12,1.131,27,2.545,37,3.487,113,10.649,0.7,0.071,102000
"141","Sydney Colson",2019,29,"LVA",1.2,33,0,379,37,3.515,84,7.979,28,2.66,64,6.079,9,0.855,20,1.9,27,2.565,33,3.135,2,0.19,23,2.185,21,1.995,59,5.604,31,2.945,4,0.38,28,2.66,40,3.799,110,10.449,-2.123,-0.466,56375
"142","Sydney Wiese",2019,24,"LAS",0.8,32,16,659,55,3.005,143,7.812,21,1.147,50,2.731,34,1.857,93,5.08,9,0.492,9,0.492,5,0.273,42,2.294,37,2.021,57,3.114,15,0.819,8,0.437,32,1.748,27,1.475,153,8.358,7.978,2.167,47798
"143","Sylvia Fowles",2019,33,"MIN",5.3,34,34,1003,197,7.071,335,12.024,197,7.071,335,12.024,0,0,0,0,70,2.512,99,3.553,92,3.302,302,10.839,210,7.537,51,1.831,32,1.149,47,1.687,68,2.441,88,3.159,464,16.654,-1.712,-0.245,113360
"144","Tamera Young",2019,32,"LVA",0.6,34,4,628,68,3.898,179,10.261,63,3.611,163,9.344,5,0.287,16,0.917,39,2.236,61,3.497,35,2.006,124,7.108,89,5.102,67,3.841,23,1.318,4,0.229,48,2.752,61,3.497,180,10.318,2.478,0.586,97600
"145","Tanisha Wright",2019,35,"NYL",0.6,31,17,613,54,3.171,130,7.635,40,2.349,92,5.403,14,0.822,38,2.232,25,1.468,31,1.821,21,1.233,86,5.051,65,3.817,126,7.4,32,1.879,9,0.529,57,3.347,67,3.935,147,8.633,-2.952,-0.502,94860
"146","Tayler Hill",2019,28,"DAL",0.1,4,2,49,4,2.939,13,9.551,3,2.204,7,5.143,1,0.735,6,4.408,4,2.939,5,3.673,2,1.469,5,3.673,3,2.204,3,2.204,1,0.735,0,0,0,0,4,2.939,13,9.551,7.505,0.49,115000
"147","Teaira McCowan",2019,22,"IND",3.9,34,16,752,119,5.697,230,11.011,119,5.697,230,11.011,0,0,0,0,103,4.931,150,7.181,108,5.17,305,14.601,197,9.431,8,0.383,20,0.957,44,2.106,44,2.106,110,5.266,341,16.324,-11.069,-1.408,53537
"148","Temi Fagbenle",2019,26,"MIN",0.2,18,0,271,42,5.579,81,10.76,41,5.446,75,9.963,1,0.133,6,0.797,13,1.727,18,2.391,22,2.923,52,6.908,30,3.985,15,1.993,6,0.797,6,0.797,32,4.251,41,5.446,98,13.018,-0.169,0.092,48564
"149","Theresa Plaisance",2019,27,"TOT",0.7,31,12,442,54,4.398,146,11.891,29,2.362,73,5.946,25,2.036,73,5.946,21,1.71,26,2.118,24,1.955,113,9.204,89,7.249,34,2.769,9,0.733,19,1.548,31,2.525,65,5.294,154,12.543,6.483,1.054,104000
"150","Tianna Hawkins",2019,28,"WAS",2.7,31,1,477,113,8.528,220,16.604,80,6.038,129,9.736,33,2.491,91,6.868,37,2.792,40,3.019,47,3.547,129,9.736,82,6.189,23,1.736,14,1.057,4,0.302,35,2.642,77,5.811,296,22.34,2.559,0.059,70000
"151","Tierra Ruffin-Pratt",2019,28,"LAS",1.5,34,33,856,72,3.028,196,8.243,47,1.977,123,5.173,25,1.051,73,3.07,35,1.472,41,1.724,20,0.841,83,3.491,63,2.65,57,2.397,26,1.093,20,0.841,29,1.22,91,3.827,204,8.579,-4.238,-1.056,56375
"152","Tiffany Bias",2019,27,"NYL",-0.3,12,0,105,7,2.4,28,9.6,4,1.371,9,3.086,3,1.029,19,6.514,6,2.057,7,2.4,0,0,6,2.057,6,2.057,11,3.771,3,1.029,0,0,8,2.743,7,2.4,23,7.886,4.279,0.357,41695
"153","Tiffany Hayes",2019,29,"ATL",1,29,29,817,147,6.477,374,16.48,111,4.891,257,11.324,36,1.586,117,5.155,97,4.274,127,5.596,21,0.925,87,3.834,66,2.908,82,3.613,29,1.278,8,0.353,70,3.084,71,3.129,427,18.815,-8.573,-1.856,115260
"154","Tiffany Mitchell",2019,24,"IND",0.8,33,14,831,109,4.722,286,12.39,89,3.856,217,9.401,20,0.866,69,2.989,83,3.596,93,4.029,22,0.953,95,4.116,73,3.162,71,3.076,19,0.823,3,0.13,55,2.383,83,3.596,321,13.906,6.587,0.7,53290
"155","Tina Charles",2019,30,"NYL",-0.1,33,33,1028,220,7.704,566,19.821,209,7.319,507,17.755,11,0.385,59,2.066,108,3.782,133,4.658,65,2.276,249,8.72,184,6.444,78,2.732,23,0.805,29,1.016,85,2.977,92,3.222,559,19.576,-6.059,-1.263,117500
"156","Victoria Macaulay",2019,28,"CHI",0.1,5,0,22,2,3.273,5,8.182,2,3.273,5,8.182,0,0,0,0,2,3.273,2,3.273,1,1.636,4,6.545,3,4.909,0,0,2,3.273,1,1.636,0,0,3,4.909,6,9.818,-2.566,-0.093,21000
"157","Yvonne Turner",2019,31,"PHO",-0.3,29,14,595,59,3.57,172,10.407,33,1.997,93,5.627,26,1.573,79,4.78,43,2.602,49,2.965,8,0.484,80,4.84,72,4.356,67,4.054,18,1.089,2,0.121,59,3.57,37,2.239,187,11.314,3.395,0.734,41965
